"Gene","NR3C1"
"BHLHB8",-0.476750973
"BICC1",0.021241487
"BID",-0.074727788
"BIN1",0.792012997
"BIRC2",2.10820909
"BIRC3",-0.828945826
"BIRC5",-0.113687035
"BLM",0.044486759
"BLMH",2.576893769
"BLNK",-0.325056578
"BLOC1S2",-0.101660653
"BLZF1",-0.527658704
"BMI1",2.392021671
"BMP10",-0.163560506
"BMP15",-0.062824497
"BMP2",-0.001118058
"BMP2K",-0.244101732
"BMP3",-0.11568143
"BMP4",0.020171891
"BMP5",-0.740137093
"BMP6",-0.201165832
"BMP7",-0.714182704
"BMPER",-0.277428868
"BMPR1A",-0.241592709
"BNC1",0.447024486
"BNC2",-0.195065302
"BNIPL",-0.405062463
"BPHL",-0.303647503
"BPIL1",0.078705925
"BPTF",-0.271515142
"BRAF",-0.360860229
"BRCA1",6.704942905
"BRCA2",0.119481728
"BRD3",0.22777698
"BRD7",-0.047553296
"BRD8",-0.530602625
"BRDT",-0.039249142
"BRF1",-0.219902112
"BRF2",-0.103238473
"BRI3",0.096493121
"BRI3BP",0.365222772
"BRIP1",-0.008717597
"BRMS1L",-0.381564208
"BRPF1",-0.011341917
"BRPF3",0.021447597
"BRUNOL4",-0.458410861
"BRWD1",-0.316457654
"BRWD3",0.311328741
"BTAF1",-0.235259581
"BTBD11",0.696466259
"BTBD14A",2.567903379
"BTBD14B",-0.249768817
"BTBD16",-0.524609376
"BTBD2",0.2289092
"BTBD3",-0.622003974
"BTBD7",-0.231821245
"BTD",0.121929869
"BTF3",0.069011018
"BTG1",0.238665817
"BTG2",-0.102384209
"BTN2A3",-0.157102497
"BTN3A1",0.132839543
"BTN3A2",0.904424298
"BTN3A3",0.307495998
"BUB1B",-1.522231264
"BUD13",-0.341036126
"BUD31",0.345118396
"BXDC5",-0.0891104
"BZRAP1",-0.020409733
"BZW1",0.140443586
"C10orf10",0.132294655
"C10orf104",0.045553448
"C10orf47",-0.322307202
"C10orf58",-0.482415256
"C10orf61",-0.463438167
"C10orf83",-0.008988346
"C10orf88",0.013164357
"C10orf89",-0.284070131
"C11orf1",-0.015797751
"C11orf10",-0.037028831
"C11orf2",0.141623535
"C11orf36",0.337088766
"C11orf41",0.386519694
"C11orf45",0.267836738
"C11orf52",-0.166945178
"C11orf54",-0.513622795
"C11orf58",0.12641121
"C11orf61",-0.270850685
"C11orf63",0.013925023
"C11orf67",-0.091111341
"C11orf68",-0.295638482
"C11orf69",0.253333896
"C11orf71",-0.100366817
"C11orf75",0.714899672
"C11orf77",0.205452705
"C12orf11",-0.916649674
"C12orf22",-0.014320966
"C12orf23",-0.097557207
"C12orf35",0.154618253
"C12orf46",-1.692292565
"C12orf54",1.015677124
"C12orf57",-0.200439157
"C12orf60",0.009109577
"C13orf1",0.184679466
"C13orf27",-0.14663698
"C14orf102",-0.056396183
"C14orf103",-0.095080727
"C14orf104",4.467896509
"C14orf111",-0.094053359
"C14orf112",0.026046626
"C14orf118",0.08791594
"C14orf128",-0.362320071
"C14orf135",-0.232322699
"C14orf145",-0.007807092
"C14orf159",1.54331157
"C14orf169",-0.09154822
"C14orf179",0.047872937
"C14orf32",0.149170714
"C14orf4",-0.575791541
"C14orf43",-0.837533206
"C14orf46",0.159986363
"C14orf65",-0.298626603
"C14orf80",-0.191122913
"C14orf93",0.18614955
"C15orf23",-0.173759758
"C15orf29",-0.164591682
"C15orf38",0.013372096
"C15orf39",0.153650617
"C15orf42",-0.395055466
"C15orf51",-0.00243156
"C16orf30",-1.856350414
"C16orf58",0.109450237
"C16orf61",-0.187784386
"C16orf63",-0.140052903
"C16orf69",-0.297501697
"C16orf71",-0.252852705
"C17orf27",-0.023818502
"C17orf32",-0.788028623
"C17orf39",-0.000897343
"C17orf41",0.16107588
"C17orf71",0.34450093
"C17orf74",-0.216646547
"C17orf75",-0.764497332
"C18orf10",-0.159857985
"C18orf25",-0.494030514
"C18orf4",0.13042229
"C18orf45",-0.104562235
"C19orf2",1.436383005
"C19orf39",-0.141751313
"C19orf40",0.117245564
"C19orf46",-1.886851527
"C1D",-0.148188715
"C1orf103",-0.367674074
"C1orf107",-0.11675169
"C1orf112",-1.039058233
"C1orf116",-0.422361152
"C1orf121",-0.444500587
"C1orf126",-0.117588131
"C1orf135",-0.180339297
"C1orf149",0.740538576
"C1orf152",-0.270895178
"C1orf159",-0.067548273
"C1orf160",0.161693195
"C1orf166",-0.812726399
"C1orf177",-0.281217386
"C1orf183",0.24201216
"C1orf188",-0.32893389
"C1orf25",0.111338927
"C1orf31",-0.024548895
"C1orf34",0.022368956
"C1orf51",-0.391619371
"C1orf53",0.2954509
"C1orf55",-0.194002169
"C1orf63",-0.502588028
"C1orf69",-0.145640342
"C1orf75",0.00318385
"C1orf9",0.362353781
"C1QBP",0.149995489
"C1QTNF4",-0.201225101
"C20orf10",-0.164544279
"C20orf100",0.204373073
"C20orf102",-0.009434596
"C20orf108",0.063143604
"C20orf11",-0.120391511
"C20orf141",0.732879924
"C20orf151",-0.327726779
"C20orf160",-0.085026519
"C20orf177",-0.142768138
"C20orf191",-0.096364477
"C20orf199",-0.024605952
"C20orf26",-0.062164379
"C20orf29",0.614341071
"C20orf4",-3.865482718
"C20orf42",-0.102621297
"C20orf58",-0.488635019
"C20orf82",0.033017856
"C20orf94",0.01008599
"C21orf122",-0.006134257
"C21orf25",-0.103482575
"C21orf45",0.165580211
"C21orf6",0.228566374
"C22orf32",0.304382936
"C2orf13",-0.035002727
"C2orf34",-0.075310023
"C2orf4",1.911124728
"C3",-1.130901819
"C3orf1",-0.01505632
"C3orf26",-0.190439754
"C3orf28",-0.047705562
"C3orf57",-0.471854095
"C3orf58",-0.036324092
"C3orf59",-0.406137097
"C3orf63",-0.421235265
"C4B",-0.600444923
"C4orf14",-0.014165566
"C4orf26",-0.274369335
"C4orf28",-0.415317934
"C4orf29",-0.281342212
"C4orf30",0.135303018
"C4orf31",-0.050812097
"C4orf34",0.219968218
"C4orf9",-0.116117657
"C5orf13",-0.014425355
"C5orf30",-1.09595306
"C5orf4",0.087516049
"C6orf105",0.013658965
"C6orf125",0.001930072
"C6orf128",-0.274799801
"C6orf150",0.00173659
"C6orf166",0.029984338
"C6orf167",0.460375593
"C6orf35",0.186819574
"C6orf48",0.088300564
"C6orf52",0.039547835
"C6orf61",-0.225974854
"C6orf62",3.52636557
"C6orf85",1.39785702
"C7orf11",-0.055863406
"C7orf23",-0.110117045
"C7orf25",0.109786454
"C7orf27",-0.577294164
"C7orf28B",0.029335898
"C7orf44",0.419815525
"C7orf47",-0.23116331
"C8orf13",-0.09985216
"C8orf32",-0.227401883
"C8orf33",-0.186342924
"C8orf44",-0.101587204
"C8orf55",0.143187235
"C8orf70",0.705582768
"C8orf72",0.25813406
"C9orf100",-0.086348545
"C9orf114",0.288855469
"C9orf126",-0.183167576
"C9orf139",-0.090229188
"C9orf150",-1.237656932
