"Gene","RORA"
"C11orf1",-0.004044211
"C11orf10",-0.23815393
"C11orf2",-0.322412042
"C11orf36",-0.19558974
"C11orf41",-0.534368766
"C11orf45",0.049847809
"C11orf52",0.488531582
"C11orf54",-0.300457863
"C11orf58",0.316420403
"C11orf61",-0.377766751
"C11orf63",0.007178847
"C11orf67",0.62754764
"C11orf68",0.521028021
"C11orf69",-0.474055897
"C11orf71",0.302653792
"C11orf75",0.470637324
"C11orf77",-0.078443606
"C12orf11",0.654929069
"C12orf22",-0.205239407
"C12orf23",1.444049258
"C12orf35",0.159181176
"C12orf46",-2.055439683
"C12orf54",0.581147022
"C12orf57",-0.472349871
"C12orf60",0.192895567
"C13orf1",-0.146884203
"C13orf27",0.173704614
"C14orf102",-0.058278023
"C14orf103",-0.195488331
"C14orf104",3.699381871
"C14orf111",-0.091221124
"C14orf112",0.046328179
"C14orf118",-0.073154515
"C14orf128",-0.009367166
"C14orf135",-0.396481301
"C14orf145",-0.225509375
"C14orf159",0.482697587
"C14orf169",0.765879931
"C14orf179",-0.244192175
"C14orf32",0.351303096
"C14orf4",0.084023502
"C14orf43",-0.821255503
"C14orf46",-0.025918928
"C14orf65",-0.225263857
"C14orf80",0.170854678
"C14orf93",0.287174535
"C15orf23",-0.108464203
"C15orf29",-0.24402502
"C15orf38",0.342628414
"C15orf39",2.711450211
"C15orf42",1.222543588
"C15orf51",-0.073343788
"C16orf30",-2.744190822
"C16orf58",0.124156203
"C16orf61",-0.169560442
"C16orf63",0.085657123
"C16orf69",-0.067058695
"C16orf71",0.014393566
"C17orf27",-0.162540284
"C17orf32",0.231881965
"C17orf39",0.308445513
"C17orf41",0.034752932
"C17orf71",0.312743685
"C17orf74",0.061850932
"C17orf75",-0.972412188
"C18orf10",-0.149002093
"C18orf25",0.150684198
"C18orf4",-0.264202559
"C18orf45",-0.014709806
"C19orf2",2.26857944
"C19orf39",-0.3296851
"C19orf40",0.139955991
"C19orf46",2.055052237
"C1D",-0.210798556
"C1orf103",-0.418349823
"C1orf107",-0.764612858
"C1orf112",-0.014209919
"C1orf116",-0.463368165
"C1orf121",-0.177991088
"C1orf126",0.071489044
"C1orf135",-0.242627293
"C1orf149",0.722720581
"C1orf152",-0.282695071
"C1orf159",0.041399028
"C1orf160",1.52411808
"C1orf166",-1.186358229
"C1orf177",0.109355567
"C1orf183",2.109451129
"C1orf188",0.039710462
"C1orf25",-0.064987384
"C1orf31",0.229263741
"C1orf34",1.231622508
"C1orf51",-0.6537914
"C1orf53",0.081678626
"C1orf55",0.054394993
"C1orf63",-0.693077389
"C1orf69",0.149187726
"C1orf75",-0.228711271
"C1orf9",0.375068876
"C1QBP",0.028485275
"C1QTNF4",0.113840322
"C20orf10",-0.322760149
"C20orf100",0.48095675
"C20orf102",0.457505398
"C20orf108",0.109553952
"C20orf11",0.061413349
"C20orf141",-0.075237754
"C20orf151",-0.129168876
"C20orf160",-0.059158973
"C20orf177",0.621372576
"C20orf191",-0.009596625
"C20orf199",-0.325384349
"C20orf26",0.266083958
"C20orf29",0.525401366
"C20orf4",-4.398782006
"C20orf42",-0.313334268
"C20orf58",-0.233802451
"C20orf82",0.085098971
"C20orf94",0.221082191
"C21orf122",0.3518589
"C21orf25",-0.463676598
"C21orf45",-0.563429425
"C21orf6",-0.597344409
"C22orf32",-0.103195785
"C2orf13",-0.006090264
"C2orf34",-0.196194169
"C2orf4",-1.639427609
"C3",-1.783919984
"C3orf1",-0.076567748
"C3orf26",-0.356663127
"C3orf28",-0.355403305
"C3orf57",0.036855228
"C3orf58",-0.099985698
"C3orf59",-0.619094236
"C3orf63",-0.689388879
"C4B",-0.38078724
"C4orf14",-0.110248319
"C4orf26",-0.448729842
"C4orf28",-0.107644245
"C4orf29",-0.21945655
"C4orf30",0.096012348
"C4orf31",0.252529417
"C4orf34",0.835951187
"C4orf9",-0.232115744
"C5orf13",-0.113532024
"C5orf30",-1.192513043
"C5orf4",0.874278042
"C6orf105",-0.10416076
"C6orf125",-0.071110782
"C6orf128",-0.266017108
"C6orf150",-0.131205634
"C6orf166",-0.432070606
"C6orf167",-0.328502118
"C6orf35",-0.005068511
"C6orf48",0.035092584
"C6orf52",0.298460356
"C6orf61",-0.321909308
"C6orf62",3.921011669
"C6orf85",-0.315879074
"C7orf11",-0.137924566
"C7orf23",-0.492934595
"C7orf25",-0.277923573
"C7orf27",-0.482559019
"C7orf28B",0.069441702
"C7orf44",-0.003437846
"C7orf47",-0.317461559
"C8orf13",-0.278555433
"C8orf32",-1.131348087
"C8orf33",-0.128749071
"C8orf44",-0.191612522
"C8orf55",0.883487093
"C8orf70",0.351478149
"C8orf72",-0.492101985
"C9orf100",-0.161485413
"C9orf114",0.533001403
"C9orf126",0.010315945
"C9orf139",0.02952001
"C9orf150",-1.247169827
"C9orf156",-0.011246134
"C9orf19",0.431787801
"C9orf3",-1.28419315
"C9orf30",-1.286352363
"C9orf40",-0.032222552
"C9orf5",-0.092772771
"C9orf64",-0.242144875
"C9orf72",-0.17706962
"C9orf78",0.203312629
"C9orf91",-0.120989817
"C9orf94",-0.482623051
"CA10",-0.086017236
"CA11",0.068586573
"CA12",0.307419076
"CA2",-1.442650256
"CA4",-0.119722792
"CA5B",-0.099487486
"CA6",-0.016972394
"CA7",-0.025370707
"CAB39",1.79816641
"CABC1",0.59743054
"CABIN1",0.639530669
"CABLES2",0.210687405
"CABP7",0.556129452
"CACHD1",-0.082800167
"CACNA1C",0.006747609
"CACNA2D2",-0.069711465
"CACNA2D3",-0.251008852
"CACNG4",0.211115862
"CACNG7",-0.192010308
"CACNG8",0.404408601
"CACYBP",0.125424723
"CAD",-0.512485741
"CALB2",0.000432887
"CALCA",-0.698374865
"CALCOCO1",0.040287234
"CALCOCO2",0.217043484
"CALD1",0.930156844
"CALM2",0.055256624
"CALML4",-0.630218334
"CALR",-0.108159135
"CAMK2A",-0.138153496
"CAMK2B",-0.126358783
"CAMK2D",-0.13463091
"CAMK2N1",0.443871317
"CAMKK2",-1.707699017
"CAMKV",-0.052208917
"CAMSAP1",-0.175373721
"CAMTA1",-0.046776116
"CAMTA2",-0.121845975
"CAND1",0.02149451
"CAND2",-0.149735325
"CANX",-0.120328371
"CAP1",0.665843739
"CAP2",0.260900337
"CAPN12",-0.552156035
"CAPN2",-0.034196491
"CAPN5",-0.295087705
"CAPNS2",-0.446205634
"CARD10",-0.147788407
"CARD11",-0.408180515
"CARHSP1",0.064287663
"CARKL",-0.880309603
"CARS",-0.375441713
"CART1",-0.171234697
"CASC5",0.001128132
"CASK",0.05820812
"CASP1",-0.326998175
"CASP4",-0.216719115
"CASP6",0.563674167
"CASP8",-0.580039122
"CASP8AP2",-0.301350618
"CASP9",-0.161137568
"CASZ1",0.083504872
"CAT",3.011195115
"CAV2",2.186603079
"CBFA2T2",0.028111371
"CBFA2T3",0.047503046
"CBFB",-0.0072109
"CBLB",0.075441104
"CBLC",-1.965731982
"CBLN2",-0.02794647
"CBR1",-0.97315628
"CBR4",0.165315151
"CBS",0.094431885
"CBX3",0.072255994
"CBX4",-0.45066978
"CBX5",-0.59080441
"CBX6",-0.207225811
"CBX7",0.152407775
"CBX8",-0.208491872
"CC2D1A",3.160574832
"CC2D1B",0.136212756
"CCAR1",0.39093075
"CCBL1",0.487886454
"CCDC100",-0.154099776
"CCDC101",-0.057923929
"CCDC106",0.124383817
"CCDC113",-0.911243574
"CCDC120",0.955570299
"CCDC126",-0.217068654
"CCDC131",0.222922284
"CCDC15",-0.110246578
"CCDC21",0.272892811
"CCDC25",-0.08591854
"CCDC28B",-1.1387677
"CCDC3",1.05506624
"CCDC59",-0.009532076
"CCDC6",-0.113664282
"CCDC68",-0.141265227
"CCDC74B",0.322314982
"CCDC79",-0.167386147
"CCDC8",0.671772974
"CCDC84",0.877965079
"CCDC85B",0.788917714
"CCDC86",-0.166874721
"CCDC93",-0.623680394
"CCDC94",0.142768527
"CCDC98",-0.145000731
"CCDC99",-1.332925714
"CCHCR1",0.179364156
"CCL20",-0.150257057
"CCL3L3",-0.717594952
"CCL5",0.830778306
"CCNA2",-2.090894723
"CCNB1IP1",0.048339148
"CCNB2",-0.07824435
"CCNC",1.141473014
"CCND1",1.097628109
"CCND2",-0.631639817
"CCND3",0.340232045
"CCNE1",0.123689094
"CCNE2",-0.398646952
"CCNF",-0.10571444
"CCNG1",-0.282255333
"CCNG2",2.062129808
"CCNH",0.319620589
