"Gene","CBX4_Over"
"ALDH16A1",-1.7
"ALDH18A1",-1.5542
"ALDH1A1",-1.6586
"ALDH1A2",0
"ALDH1A3",0
"ALDH1A3",0
"ALDH1B1",-1.4932
"ALDH1B1",-1.4932
"ALDH1L1",-2.0983
"ALDH1L2",-1.4733
"ALDH2",0
"ALDH3A1",0
"ALDH3A2",0
"ALDH3B1",0
"ALDH3B2",-1.7695
"ALDH4A1",0
"ALDH4A1",0
"ALDH5",0
"ALDH5A1",0
"ALDH6A1",0
"ALDH7A1",-2.0518
"ALDH8A1",0
"ALDH9A1",0
"ALDOA",0
"ALDOAP2",0
"ALDOB",0
"ALDOC",-2.451
"ALEX3",0
"ALG1",0
"ALG10",0
"ALG10B",-1.556
"ALG11",1.7751
"ALG12",0
"ALG13",1.4885
"ALG14",0
"ALG1L",0
"ALG1L2",0
"ALG2",0
"ALG3",0
"ALG5",0
"ALG6",0
"ALG8",0
"ALG9",-1.4824
"ALG9",-1.4824
"ALK",0
"ALKBH1",0
"ALKBH2",-1.8265
"ALKBH3",0
"ALKBH4",0
"ALKBH5",0
"ALKBH6",0
"ALKBH7",0
"ALKBH8",0
"ALMS1",-1.6691
"ALMS1",-1.6691
"ALOX12",-1.6331
"ALOX12B",-1.7473
"ALOX12E",0
"ALOX12P2",1.7683
"ALOX15",0
"ALOX15B",-3.1801
"ALOX5",0
"ALOX5AP",0
"ALOX5AP",0
"ALOXE3",0
"alpha-CP1",0
"ALPI",0
"ALPK1",0
"ALPK2",0
"ALPK3",0
"ALPL",0
"ALPP",0
"ALPPL2",0
"ALR",0
"ALS2",0
"ALS2CL",0
"ALS2CR11",0
"ALS2CR12",0
"ALS2CR13",0
"ALS2CR13",0
"ALS2CR2",0
"ALS2CR4",-2.2568
"ALS2CR8",0
"ALS2CR8",0
"ALX1",0
"ALX3",0
"ALX4",0
"ALYREF",0
"AMAC1L2",0
"AMACR",0
"AMBN",0
"AMBP",0
"AMBRA1",1.51
"AMD1",0
"AMDHD1",0
"AMDHD2",-1.548
"AMELX",0
"AMELY",0
"AMER1",0
"AMER2",0
"AMER3",0
"AMFR",1.6536
"AMH",0
"AMHR2",0
"AMIGO1",0
"AMIGO2",-2.8163
"AMIGO3",2.0341
"AML1",0
"AML1 delta-N",0
"AML1AMP19 fusion",0
"AML1EAP",0
"AMMECR1",0
"AMMECR1L",1.6071
"AMN",0
"AMN1",0
"AMOT",0
"AMOT",0
"AMOTL1",0
"AMOTL2",1.7536
"AMPD1",0
"AMPD2",0
"AMPD3",0
"AMPD3",0
"AMPH",0
"AMPK gamma2",0
"AMT",-1.7614
"AMT",-1.7614
"AMTN",0
"AMY1A",0
"AMY2A",0
"AMY2B",0
"AMZ1",0
"AMZ2",0
"A0.0PC1",-1.5106
"A0.0PC10",0
"A0.0PC11",0
"A0.0PC13",0
"A0.0PC15",0
"A0.0PC16",0
"A0.0PC2",0
"A0.0PC4",0
"A0.0PC5",0
"A0.0PC5",0
"A0.0PC7",0
"A0.0PC7",0
"ANG",0
"ANG-3",0
"ANGEL1",0
"ANGEL2",0
"ANGPT1",0
"ANGPT2",0
"ANGPT4",0
"ANGPTL1",0
"ANGPTL2",0
"ANGPTL3",0
"ANGPTL4",0
"ANGPTL5",0
"ANGPTL6",0
"ANGPTL7",0
"ANGPTL8",0
"ANHX",0
"ANK",0
"ANK1",0
"ANK2",0
"ANK3",-1.5437
"ANK3",-1.5437
"ANKAR",0
"ANKDD1A",0
"ANKEF1",0
"ANKFN1",0
"ANKFY1",0
"ANKH",0
"ANKH",0
"ANKHD1",0
"ANKHD1",0
"ANKHD1",0
"ANKHD1-EIF4EBP3",1.5612
"ANKHZN",0
"ANKIB1",0
"ANKK1",0
"ANKLE1",0
"ANKLE2",1.7473
"ANKMY1",0
"ANKMY2",0
"ANKRA2",0
"ANKRD1",0
"ANKRD10",0
"ANKRD10",0
"ANKRD11",0
"ANKRD12",1.8037
"ANKRD12",1.8037
"ANKRD13A",1.6863
"ANKRD13A",1.6863
"ANKRD13B",0
"ANKRD13C",1.6169
"ANKRD13D",0
"ANKRD15",0
"ANKRD15",0
"ANKRD16",-1.8221
"ANKRD17",0
"ANKRD17",0
"ANKRD18A",0
"ANKRD18B",-1.7583
"ANKRD19",0
"ANKRD19P",0
"ANKRD2",0
"ANKRD20A1",0
"ANKRD20A2",0
"ANKRD20A3",0
"ANKRD20A4",0
"ANKRD20A8P",0
"ANKRD20A9P",0
"ANKRD22",0
"ANKRD23",0
"ANKRD24",0
"ANKRD26",0
"ANKRD27",0
"ANKRD28",0
"ANKRD28",0
"ANKRD29",0
"ANKRD3",0
"ANKRD30A",0
"ANKRD30B",0
"ANKRD31",0
"ANKRD33",0
"ANKRD33B",0
"ANKRD34A",0
"ANKRD34B",0
"ANKRD35",-5.9531
"ANKRD36",-1.5342
"ANKRD36B",-1.64
"ANKRD37",1.8477
"ANKRD39",0
"ANKRD40",1.6602
"ANKRD42",0
"ANKRD43",0
"ANKRD43",0
"ANKRD44",0
"ANKRD46",1.5458
"ANKRD47",0
"ANKRD47",0
"ANKRD49",0
"ANKRD50",0
"ANKRD52",0
"ANKRD53",0
"ANKRD54",0
"ANKRD55",0
"ANKRD57",-1.7299
"ANKRD6",0
"ANKRD61",0
"ANKRD62",0
"ANKRD63",0
"ANKRD65",0
"ANKRD7",0
"ANKRD9",0
"ANKS1A",0
"ANKS1B",0
"ANKS3",0
"ANKS4B",0
"ANKS6",-1.5607
"ANKTM1",0
"ANKUB1",0
"ANKZF1",0
"ANLN",-4.2046
"ANO1",-1.8322
"ANO10",0
"ANO2",0
"ANO3",0
"ANO4",0
"ANO5",0
"ANO6",1.4931
"ANO7",0
"ANO8",0
"ANO9",0
"ANOS1",0
"ANOS2P",0
"ANP32A",-1.9713
"ANP32B",-2.2091
"ANP32C",0
"ANP32D",-2.075
"ANP32E",-2.2159
"ANPEP",0
"anti-colorectal carcinoma heavy chain",0
"anti-colorectal carcinoma light chain",0
"ANTXR1",0
"ANTXR2",0
"ANTXR2",0
"ANX14",0
"ANX3",0
"ANXA1",0
"ANXA10",0
"ANXA11",1.5168
"ANXA11",1.5168
"ANXA13",0
"ANXA2",0
"ANXA2P1",0
"ANXA2P2",0
"ANXA2R",0
"ANXA3",0
"ANXA4",0
"ANXA5",0
"ANXA6",0
"ANXA7",0
"ANXA8",0
"ANXA8L1",0
"ANXA9",-1.8512
"AOAH",0
"AOC1",0
"AOC2",1.6637
"AOC3",3.0399
"AOF1",0
"AOF1",0
"AOF2",0
"AOX",0
"AOX1",0
"AP-2B",0
"AP1AR",0
"AP1G1",1.9709
"AP1G2",0
"AP1GBP1",0
"AP1M1",0
"AP1M2",0
"AP1S1",1.6592
"AP1S2",1.4857
"AP1S3",0
"AP2A1",0
"AP2A2",0
"AP2B1",0
"AP2M1",0
"AP2S1",0
"AP3B1",1.5018
"AP3B2",0
"AP3D1",1.4911
"AP3D1",1.4911
"AP3M1",0
"AP3M2",0
"AP3S1",0
"AP3S2",0
"AP4",0
"AP4B1",0
"AP4E1",0
"AP4M1",0
"AP4S1",0
"AP5B1",0
"AP5M1",0
"AP5S1",0
"AP5Z1",0
"APAF1",0
"APBA1",0
"APBA2",0
"APBA2",0
"APBA3",0
"APBB1",0
"APBB1",0
"APBB1IP",0
"APBB2",0
"APBB3",0
"APC",0
"APC10",0
"APC2",0
"APCDD1",0
"APCDD1L",0
"APCS",0
"APE",0
"APEH",-1.6239
"APEX1",0
"APEX2",0
"apg-2",0
"APG5L",0
"APH1A",0
"APH1B",2.1614
"API5",0
"APIP",0
"APITD1",-1.5902
"APLF",0
"APLN",-3.3434
"APLN",-3.3434
"APLN",-3.3434
"APLNR",0
"APLP1",0
"APLP2",0
"APLP2",0
"APM1",0
"APMAP",0
"APMCF1",0
"APNH",0
"APOA1",0
"APOA1BP",0
"APOA2",0
"APOA4",0
"APOA4",0
"APOA5",0
"apoargC",0
"APOARGC",0
"APOB",0
"APOB48R",0
"APOBEC1",0
"APOBEC2",0
"APOBEC3A",0
"APOBEC3A_B",0
"APOBEC3B",0
"APOBEC3C",0
"APOBEC3D",0
"APOBEC3F",0
"APOBEC3G",-1.7422
"APOBEC3H",0
"APOBEC4",0
"APOC1",-2.1455
"APOC1",-2.1455
"APOC3",0
"APOC4",0
"APOD",0
"APOE",-1.8646
"APOF",0
"APOH",0
"APOL1",0
"APOL2",0
"APOL3",-2.0546
"APOL4",0
"APOL5",0
"APOL6",0
"APOL6",0
"APOL6",0
"APOLD1",0
"APOLIV",0
"APOM",0
"APOO",0
"APOOL",0
"APOPT1",0
"APP",0
"APPBP2",0
"APPBP2",0
"APPILS",0
"APPL",0
"APPL1",0
"APPL2",0
"42826.0000",0
"42827.0000",0
"42828.0000",0
"APRT",0
"APTX",0
"AQP1",0
