"Gene","STAT3"
"C22orf32",-0.200385126
"C2orf13",-0.043203029
"C2orf34",-0.162641786
"C2orf4",-1.772814789
"C3",-1.288311515
"C3orf1",-0.037346779
"C3orf26",-0.434517363
"C3orf28",-0.075427206
"C3orf57",0.252941973
"C3orf58",-0.116320993
"C3orf59",-0.459943636
"C3orf63",-0.469639447
"C4B",-0.514660467
"C4orf14",-0.307958091
"C4orf26",-0.180613191
"C4orf28",-0.457672046
"C4orf29",-0.194806125
"C4orf30",0.238806089
"C4orf31",0.093050689
"C4orf34",-0.486984005
"C4orf9",-0.170736573
"C5orf13",-0.349740869
"C5orf30",-0.830483951
"C5orf4",-0.001351978
"C6orf105",0.090958539
"C6orf125",-0.291494928
"C6orf128",-0.364244942
"C6orf150",-0.119104757
"C6orf166",0.215309111
"C6orf167",0.027936394
"C6orf35",-0.027247336
"C6orf48",-0.111821972
"C6orf52",0.067409254
"C6orf61",-0.2076702
"C6orf62",4.110482224
"C6orf85",-1.058507119
"C7orf11",-0.229434592
"C7orf23",-0.087884455
"C7orf25",-0.205469042
"C7orf27",-0.597907749
"C7orf28B",0.08553896
"C7orf44",-0.078928782
"C7orf47",-0.392204826
"C8orf13",0.03733942
"C8orf32",-0.743040803
"C8orf33",0.655853629
"C8orf44",-0.018994964
"C8orf55",0.678397362
"C8orf70",0.093987649
"C8orf72",-0.006303892
"C9orf100",0.084135871
"C9orf114",0.518266755
"C9orf126",0.004539273
"C9orf139",0.075740829
"C9orf150",0.837846509
"C9orf156",0.038136461
"C9orf19",1.41562281
"C9orf3",-1.193436139
"C9orf30",-1.580634511
"C9orf40",0.070839715
"C9orf5",-0.116201085
"C9orf64",-0.135225716
"C9orf72",-0.149229555
"C9orf78",0.331508575
"C9orf91",-0.018793264
"C9orf94",-0.403623127
"CA10",0.337725543
"CA11",0.013283079
"CA12",-0.124775588
"CA2",-2.537947294
"CA4",0.356783932
"CA5B",0.023400663
"CA6",-0.042659699
"CA7",0.013646112
"CAB39",1.453650177
"CABC1",0.367609378
"CABIN1",0.326933626
"CABLES2",0.339419398
"CABP7",0.224050753
"CACHD1",0.201732937
"CACNA1C",-0.026620138
"CACNA2D2",0.03522617
"CACNA2D3",-0.415940128
"CACNG4",0.234504857
"CACNG7",-0.230094822
"CACNG8",0.493240886
"CACYBP",0.070344988
"CAD",-0.685380052
"CALB2",0.227828932
"CALCA",-0.618607653
"CALCOCO1",0.283308228
"CALCOCO2",-0.483697943
"CALD1",0.537416978
"CALM2",0.020515277
"CALML4",-0.415439217
"CALR",-0.051063769
"CAMK2A",-0.267235435
"CAMK2B",0.142258075
"CAMK2D",0.191268193
"CAMK2N1",-0.045213189
"CAMKK2",-2.651693223
"CAMKV",-0.087800489
"CAMSAP1",-0.183206961
"CAMTA1",0.069641058
"CAMTA2",-0.130227074
"CAND1",0.002601581
"CAND2",0.484605802
"CANX",-0.075842241
"CAP1",0.644134139
"CAP2",0.063819586
"CAPN12",-0.452081587
"CAPN2",-0.134336062
"CAPN5",-0.235994036
"CAPNS2",-0.18119962
"CARD10",-0.269602767
"CARD11",-0.267716639
"CARHSP1",0.034263225
"CARKL",-0.477638311
"CARS",0.176789236
"CART1",-0.1820455
"CASC5",0.228158426
"CASK",-0.253746195
"CASP1",0.122367917
"CASP4",-0.123612329
"CASP6",0.252228931
"CASP8",0.05870881
"CASP8AP2",-0.034235438
"CASP9",-0.536284817
"CASZ1",0.023279377
"CAT",2.588045902
"CAV2",0.821620543
"CBFA2T2",-0.042008531
"CBFA2T3",0.020767604
"CBFB",-0.101381576
"CBLB",0.020768715
"CBLC",-2.380354048
"CBLN2",0.134611952
"CBR1",0.152104518
"CBR4",-0.216480315
"CBS",0.647867319
"CBX3",0.041277835
"CBX4",-0.289771827
"CBX5",0.688297418
"CBX6",0.537993659
"CBX7",0.155685126
"CBX8",-0.088139977
"CC2D1A",0.34384516
"CC2D1B",0.31715288
"CCAR1",0.27742372
"CCBL1",0.605844814
"CCDC100",-0.035452127
"CCDC101",0.066281085
"CCDC106",0.263303215
"CCDC113",-0.892173388
"CCDC120",0.471951925
"CCDC126",-0.179361005
"CCDC131",0.358065213
"CCDC15",0.016456062
"CCDC21",0.334179048
"CCDC25",0.215889207
"CCDC28B",-0.515549152
"CCDC3",0.998049073
"CCDC59",0.044062598
"CCDC6",-0.011400141
"CCDC68",-0.04683294
"CCDC74B",0.316174989
"CCDC79",0.287183289
"CCDC8",0.792464268
"CCDC84",0.460814615
"CCDC85B",-0.022314067
"CCDC86",-0.269074489
"CCDC93",-0.600697568
"CCDC94",0.137305159
"CCDC98",-0.005281206
"CCDC99",-0.808628945
"CCHCR1",0.34456519
"CCL20",-0.329768544
"CCL3L3",-0.648680996
"CCL5",0.217108431
"CCNA2",-1.313613072
"CCNB1IP1",-0.181571069
"CCNB2",-0.306844645
"CCNC",1.170522736
"CCND1",0.316461303
"CCND2",-0.161522676
"CCND3",0.463820721
"CCNE1",0.074013912
"CCNE2",-0.175174505
"CCNF",0.098549904
"CCNG1",1.365022148
"CCNG2",1.06466125
"CCNH",-0.060658361
"CCNJ",-0.212953518
"CCNK",-0.403387554
"CCNL1",-0.424946163
"CCNL2",0.01745901
"CCNT2",-0.30568111
"CCPG1",-0.165790021
"CCR1",0.006594166
"CCR10",-0.260343242
"CCR4",0.404716012
"CCR5",0.065515229
"CCRL1",-0.204249425
"CCRN4L",0.063076772
"CCT2",0.009571335
"CD14",0.487892301
"CD163L1",0.272029245
"CD164",0.420780069
"CD1A",-0.319898917
"CD2",-0.40187642
"CD248",0.48686678
"CD27",0.447214158
"CD274",0.04838598
"CD33L3",0.768014887
"CD44",-0.035553061
"CD53",0.24162499
"CD55",0.038602953
"CD59",-0.162833813
"CD6",0.208047565
"CD63",-0.089167784
"CD69",-0.020714001
"CD70",0.474566479
"CD74",-0.434343181
"CD80",0.152319854
"CD82",-0.45532325
"CD86",1.889115957
"CD99",-0.188561149
"CD99L2",0.084663919
"CDADC1",0.23315045
"CDC16",-0.139133199
"CDC23",-1.889796772
"CDC25A",-0.307006549
"CDC2L1",-0.051307468
"CDC2L2",0.084157979
"CDC34",-0.478455638
"CDC37",0.078573609
"CDC42BPG",0.016347499
"CDC42EP1",0.295783143
"CDC42EP2",-0.226279477
"CDC42EP3",-0.936441487
"CDC42EP5",-0.380990281
"CDC42SE1",-0.653388652
"CDC45L",-0.49436101
"CDC5L",-0.189980052
"CDC6",-0.641389734
"CDC7",0.131296875
"CDCA2",-0.014372165
"CDCA3",-0.625595093
"CDCA4",-0.717242744
"CDCA5",-0.315781186
"CDCA7",-0.268468924
"CDCA7L",-1.246073549
"CDCA8",-0.114372434
"CDCP1",0.129543591
"CDH1",0.145099039
"CDH11",0.145800609
"CDH13",0.329103288
"CDH15",-0.230933751
"CDH22",-0.0796943
"CDK2",-0.2067227
"CDK2AP1",0.184772915
"CDK2AP2",0.383347186
"CDK5R1",-0.228234338
"CDK5R2",-0.432185098
"CDK5RAP1",-0.440671018
"CDK5RAP3",-0.273141552
"CDK7",0.036741248
"CDK8",-0.230966778
"CDK9",-0.260216101
"CDKN1B",0.445173908
"CDKN1C",-0.173826374
"CDKN2A",-0.468175078
"CDKN2B",-1.655619508
"CDRT1",0.26125646
"CDRT15",-0.04996545
"CDSN",0.867278654
"CDV3",0.568550476
"CDX1",0.354408765
"CDX2",-0.041259571
"CDX4",-0.201554463
"CDYL",-0.972362756
"CDYL2",-0.158595125
"CEACAM19",0.095122
"CEACAM4",-0.534181044
"CEBPA",-1.088825885
"CEBPB",-0.613000911
"CEBPD",-0.143255419
"CEBPE",-0.106603442
"CEBPG",-0.234819237
"CEBPZ",-0.192312373
"CELSR2",0.037852712
"CEND1",-0.056958837
"CENPA",-0.325084028
"CENPB",0.406500833
"CENPE",0.152253555
"CENPF",-0.240592189
"CENPI",-0.106192489
"CENPJ",1.198597425
"CENPK",-0.430824465
"CENPN",-0.69362764
"CENPO",0.000211484
"CENPQ",0.124036036
"CENPT",-0.315596808
"CENTA1",-0.105482166
"CENTA2",0.218221021
"CENTB5",-0.38994363
"CEP152",0.038870779
"CEP250",0.316873892
"CEP55",-0.286884066
"CEP68",-0.015295553
"CEP72",0.298323929
"CERK",-0.299048202
"CES2",-0.309954426
"CFDP1",-0.156183807
"CFHR2",-0.042095838
"CFL1",0.093899661
"CFL2",-0.251746052
"CFLAR",0.116683957
"CFTR",-0.063403927
"CG018",0.069779007
"CGGBP1",-0.228108186
"CGN",0.295534251
"CHAC1",-0.636263388
"CHAF1A",-1.372147883
"CHAF1B",-1.047282315
"CHCHD8",-0.25977736
"CHD1",-0.310375216
"CHD2",0.073770399
"CHD3",0.040885075
"CHD4",0.383054651
"CHD5",0.495067809
"CHD6",0.248700097
"CHD7",0.325094944
"CHD8",-0.361099576
"CHD9",0.128261282
"CHEK1",-0.101460916
"CHERP",-0.313769272
"CHES1",-0.147032484
"CHI3L2",-0.179155236
"CHIC2",-0.328893845
"CHML",-0.749759477
"CHMP1B",1.124445772
"CHMP2A",-0.216575015
"CHMP2B",0.536032384
"CHMP5",0.115027092
"CHODL",0.027691059
"CHORDC1",-4.521502649
"CHRD",-0.388437772
"CHRM1",0.149803392
"CHRNA1",-0.141912703
"CHRNA3",-0.089332937
"CHRNA4",-0.143413043
"CHRNA5",-0.521547917
"CHRNB2",-0.063354171
"CHRNB4",-0.328262859
