"Gene","CEBPG"
"AGBL4",0
"AGBL5",0
"AGC1",0
"AGER",-0.7582
"AGFG1",0
"AGFG2",0
"AGGF1",0.4026
"AGGF1",0.1334
"AGK",0
"AGL",0
"AGMAT",0
"AGMO",0
"AGO1",0
"AGO2",0
"AGO3",0
"AGO4",0
"AGPAT1",0
"AGPAT2",0
"AGPAT3",0.1298
"AGPAT3",-0.3105
"AGPAT4",0
"AGPAT4-IT1",0
"AGPAT5",0
"AGPAT6",0.0235
"AGPAT6",-0.0246
"AGPAT9",0
"AGPS",0
"AGR2",-0.9491
"AGR3",0
"AGRIN",1.0081
"AGRIN",-0.1017
"AGRN",0
"AGRP",-0.162
"AGS1",0
"AGT",0.2173
"AGTPBP1",0
"AGTR1",0.1213
"AGTR1B",0
"AGTR2",0
"AGTRAP",0
"AGTRL2",0
"AGXT",0
"AGXT2",0
"AGXT2L1",0
"AGXT2L2",0.4038
"AHCTF1",0.8272
"AHCTF1",-0.2535
"AHCY",0.0294
"AHCY",-3.6493
"AHCYL1",0.2564
"AHCYL2",0
"AHDC1",-0.5994
"AHDC1",-0.1784
"AHI1",0
"AH0.0K",0
"AH0.0K2",0
"AHR",-2.0907
"AHRR",0.0939
"AHSA1",0
"AHSP",0
"AI140519",0
"AI161396",0
"AI240896",0
"AI719574",0
"AI791206",0
"AI887037",0
"AI922845",0
"AICDA",0
"AIDA",0
"aie-75",0
"AIF1",0
"AIF1L",0
"AIFM1",0
"AIFM2",0
"AIFM3",0.0335
"AIG1",0.0295
"aik2",0
"aik3",0
"AIM1",-0.3396
"AIM1L",-0.6495
"AIM2",0
"AIMP1",0
"AIMP2",0
"AIP",0.1377
"AIP",0.053
"AIP-1",0
"AIPC",0
"AIPL1",0
"AIRE",-0.0157
"AIRE",0.2034
"airm",0
"AJ227863",0
"AJ293393",0
"AJ307469",0
"AJ312026",0
"AJ312027",0
"AJAP1",-0.5735
"AJUBA",0
"AK000085",0
"AK000144",0
"AK000420",0
"AK000809",0
"AK000925",0
"AK000954",0
"AK001089",0
"AK001118",0
"AK001120",0
"AK001808",0
"AK001846",0
"AK021554",0
"AK021570",0
"AK021595",0
"AK021606",0
"AK021744",0
"AK021804",0
"AK021824",0
"AK021842",0
"AK021906",0
"AK022004",0
"AK022016",0
"AK022020",0
"AK022044",0
"AK022062",0
"AK022066",0
"AK022083",0
"AK022086",0
"AK022109",0
"AK022140",0
"AK022150",0
"AK022183",0
"AK022204",0
"AK022223",0
"AK022268",0
"AK022299",0
"AK022337",0
"AK022339",0
"AK022346",0
"AK022351",0
"AK022364",0
"AK022443",0
"AK022479",0
"AK023018",0
