"Gene","MAFB1"
"AK128103",0
"AK128396",0
"AK128559",0
"AK128814",0
"AK129547",0
"AK129956",0
"AK130099",0
"AK130644",0
"AK130891",0
"AK2",0
"AK2",0
"AK3",0
"AK304575",0
"AK3L1",0
"AK4",0
"AK5",-0.1054
"AK5",-0.1054
"AK6",0
"AK7",0
"AK8",0
"AK9",0
"AKAIN1",0
"AKAP1",0
"AKAP10",0
"AKAP11",0
"AKAP12",0
"AKAP13",0
"AKAP13",0
"AKAP14",0
"AKAP17A",0
"AKAP2",0
"AKAP3",0.0103
"AKAP4",0.0074
"AKAP5",-0.0057
"AKAP6",0
"AKAP7",0
"AKAP8",0
"AKAP8L",0
"AKAP9",0.0837
"AKAP9",0.0837
"AKD1",0
"AKIP1",0
"AKIRIN1",0
"AKIRIN2",0
"AK0.0",0
"AK0.0D1",0
"AKR1A1",0
"AKR1B1",0
"AKR1B10",0.1411
"AKR1B15",0
"AKR1C1",0
"AKR1C1",0
"AKR1C1",0
"AKR1C2",0
"AKR1C3",0
"AKR1C4",0
"AKR1D1",0.0399
"AKR1E2",0
"AKR7A2",0
"AKR7A3",-0.0121
"AKT1",-0.1918
"AKT1S1",0
"AKT2",0
"AKT3",-0.0808
"AKT3",-0.0808
"AKTIP",0
"AL049390",0
"AL050122",0
"AL050185",0
"AL079294",0
"AL080082",0
"AL080232",0
"AL109784",0
"AL134462",0
"AL137318",0
"AL137400",0
"AL359650",0
"AL390143",0
"AL390214",0
"AL832142",0
"AL832146",0
"AL832806",0
"AL832820",0
"AL833114",0
"AL833452",0
"AL833696",0
"AL834280",0
"ALAD",0.023
"ALAS1",0
"ALAS2",0
"ALB",0
"ALCAM",0
"ALDH1",0.4184
"ALDH12",0.3661
"ALDH16A1",0
"ALDH18A1",0
"ALDH1A1",0
"ALDH1A2",0
"ALDH1A3",0
"ALDH1A3",0
"ALDH1B1",0
"ALDH1B1",0
"ALDH1L1",0
"ALDH1L2",0
"ALDH2",0
"ALDH3A1",0
"ALDH3A2",0
"ALDH3B1",0
"ALDH3B2",0
"ALDH4A1",0
"ALDH4A1",0
"ALDH5",-0.0264
"ALDH5A1",0
"ALDH6A1",0
"ALDH7A1",0
"ALDH8A1",0
"ALDH9A1",0
"ALDOA",0
"ALDOAP2",0.0211
"ALDOB",0
"ALDOC",0
"ALEX3",0.0283
"ALG1",0
"ALG10",0
"ALG10B",0
"ALG11",0
"ALG12",0
"ALG13",0
"ALG14",0
"ALG1L",0
"ALG1L2",0
"ALG2",0
"ALG3",0
