"Gene","FDXR"
"ANPEP",11.3986
"anti-colorectal carcinoma heavy chain",0
"anti-colorectal carcinoma light chain",0
"ANTXR1",3.0482
"ANTXR2",2e-04
"ANTXR2",2e-04
"ANX14",0
"ANX3",0
"ANXA1",95.5617
"ANXA10",0
"ANXA11",23.5842
"ANXA11",23.5842
"ANXA13",0
"ANXA2",0
"ANXA2P1",0
"ANXA2P2",0
"ANXA2R",5.0581
"ANXA3",4.154
"ANXA4",5.135
"ANXA5",19.5408
"ANXA6",0
"ANXA7",0.0045
"ANXA8",0
"ANXA8L1",0
"ANXA9",0.8743
"AOAH",0
"AOC1",0
"AOC2",0.0037
"AOC3",0.0015
"AOF1",0
"AOF1",0
"AOF2",0
"AOX",0
"AOX1",0.6085
"AP-2B",0
"AP1AR",0.0053
"AP1G1",8e-04
"AP1G2",6.5834
"AP1GBP1",0
"AP1M1",6.7361
"AP1M2",28.0347
"AP1S1",180.7635
"AP1S2",0.8923
"AP1S3",0
"AP2A1",0.0141
"AP2A2",3.6212
"AP2B1",7.1897
"AP2M1",130.86
"AP2S1",32.826
"AP3B1",8.9808
"AP3B2",0.4166
"AP3D1",0.2774
"AP3D1",0.2774
"AP3M1",4.1487
"AP3M2",1.0059
"AP3S1",79.3507
"AP3S2",2.9826
"AP4",0
"AP4B1",0.0035
"AP4E1",0.6822
"AP4M1",1.198
"AP4S1",1.598
"AP5B1",5.195
"AP5M1",0
"AP5S1",7.3045
"AP5Z1",2.1799
"APAF1",4e-04
"APBA1",0.7258
"APBA2",5e-04
"APBA2",5e-04
"APBA3",5.023
"APBB1",0
"APBB1",0
"APBB1IP",0
"APBB2",6.2344
"APBB3",1.4107
"APC",0.5839
"APC10",0
"APC2",0.8575
"APCDD1",51.2229
"APCDD1L",0.6927
"APCS",0
"APE",0
"APEH",4.1109
"APEX1",52.1256
"APEX2",2.2809
"apg-2",0
"APG5L",0
"APH1A",5.3421
"APH1B",0.0024
"API5",5.3362
"APIP",0
"APITD1",0
"APLF",0.369
"APLN",1.0687
"APLN",1.0687
"APLN",1.0687
"APLNR",0
"APLP1",0
"APLP2",29.7126
"APLP2",29.7126
"APM1",0
"APMAP",8.9814
"APMCF1",0
"APNH",0
"APOA1",0
"APOA1BP",0
"APOA2",0
"APOA4",0
"APOA4",0
"APOA5",0
"apoargC",0
"APOARGC",0
"APOB",0
"APOB48R",0
"APOBEC1",0
"APOBEC2",0.1416
"APOBEC3A",0
"APOBEC3A_B",0
"APOBEC3B",0
"APOBEC3C",52.8027
"APOBEC3D",0.2315
"APOBEC3F",3.5888
"APOBEC3G",7.6193
"APOBEC3H",7e-04
"APOBEC4",0
"APOC1",1e-04
"APOC1",1e-04
"APOC3",0
"APOC4",0
"APOD",0.2196
"APOE",94.882
"APOF",0
"APOH",0
"APOL1",1.8097
"APOL2",1.6257
"APOL3",0
"APOL4",0.0659
"APOL5",0
"APOL6",2.1112
