"Gene","GABP1"
"ANKRD63",0
"ANKRD65",0
"ANKRD7",0
"ANKRD9",0
"ANKS1A",0
"ANKS1B",0
"ANKS3",0
"ANKS4B",0
"ANKS6",0
"ANKTM1",0
"ANKUB1",0
"ANKZF1",0
"ANLN",3.6366
"ANO1",0
"ANO10",0
"ANO2",0
"ANO3",0
"ANO4",0
"ANO5",0
"ANO6",0
"ANO7",0
"ANO8",0
"ANO9",0
"ANOS1",0
"ANOS2P",0
"ANP32A",-1.3648
"ANP32B",0
"ANP32C",0
"ANP32D",0
"ANP32E",0
"ANPEP",0
"anti-colorectal carcinoma heavy chain",0
"anti-colorectal carcinoma light chain",0
"ANTXR1",0
"ANTXR2",0.3033
"ANTXR2",-2.4603
"ANX14",0
"ANX3",0
"ANXA1",-0.1593
"ANXA10",0
"ANXA11",-0.3366
"ANXA11",0.4366
"ANXA13",0
"ANXA2",0
"ANXA2P1",0.1279
"ANXA2P2",0
"ANXA2R",0
"ANXA3",0.0806
"ANXA4",-0.2129
"ANXA5",0.0052
"ANXA6",0
"ANXA7",0
"ANXA8",-0.1135
"ANXA8L1",0
"ANXA9",-0.7557
"AOAH",0
"AOC1",0
"AOC2",0
"AOC3",0
"AOF1",-0.3992
"AOF1",-0.1416
"AOF2",-1.5959
"AOX",0
"AOX1",0
"AP-2B",0
"AP1AR",0
"AP1G1",0
"AP1G2",0
"AP1GBP1",-0.0898
"AP1M1",2.4315
"AP1M2",0
"AP1S1",0
"AP1S2",0
"AP1S3",0
"AP2A1",0
"AP2A2",0
"AP2B1",0
"AP2M1",0
"AP2S1",-0.0322
"AP3B1",0
"AP3B2",0
"AP3D1",-0.1723
"AP3D1",6.0228
"AP3M1",0
"AP3M2",-0.293
"AP3S1",0
"AP3S2",0
"AP4",0
"AP4B1",-0.2184
"AP4E1",0
"AP4M1",-0.0894
"AP4S1",0.0525
"AP5B1",0
"AP5M1",0
"AP5S1",0
"AP5Z1",0
"APAF1",0
"APBA1",0
"APBA2",-0.5135
"APBA2",-0.6048
"APBA3",0
"APBB1",0.036
"APBB1",-0.7789
"APBB1IP",0
"APBB2",0.0208
"APBB3",0
"APC",0
"APC10",0
"APC2",0
"APCDD1",-0.338
"APCDD1L",0
"APCS",0
"APE",0
"APEH",0.8849
"APEX1",0
"APEX2",0
"apg-2",0
"APG5L",0
"APH1A",0
"APH1B",0
"API5",0
"APIP",0
"APITD1",0
"APLF",0
"APLN",-0.2534
"APLN",-3.171
"APLN",3.3825
"APLNR",0
"APLP1",0
"APLP2",1.141
"APLP2",-0.2914
"APM1",0
"APMAP",0
"APMCF1",0
"APNH",0
"APOA1",0
"APOA1BP",-0.005
"APOA2",0
"APOA4",-0.1566
"APOA4",-0.3575
"APOA5",0
"apoargC",0
"APOARGC",0
"APOB",0
"APOB48R",0
"APOBEC1",0
"APOBEC2",0
"APOBEC3A",0.0912
"APOBEC3A_B",0
"APOBEC3B",-0.6182
"APOBEC3C",0.2829
"APOBEC3D",0
"APOBEC3F",0.3423
"APOBEC3G",0.2903
"APOBEC3H",0
"APOBEC4",0
"APOC1",1.7803
"APOC1",1.4693
"APOC3",-0.3295
"APOC4",0.106
"APOD",0
"APOE",-3.5653
"APOF",0
"APOH",0
"APOL1",0
"APOL2",0
"APOL3",0
"APOL4",0
"APOL5",0
"APOL6",0.0075
"APOL6",-0.1781
"APOL6",-0.2292
"APOLD1",0
"APOLIV",0
"APOM",0
"APOO",0
"APOOL",0
"APOPT1",0
"APP",0.6603
"APPBP2",-0.0116
"APPBP2",0.1352
"APPILS",0
"APPL",0
"APPL1",0
"APPL2",0
"42826.0000",0
"42827.0000",0
"42828.0000",0
"APRT",0
"APTX",0
"AQP1",0
"AQP10",0
"AQP11",0
"AQP12A",-0.1493
"AQP2",-0.4732
"AQP2",-0.4483
"AQP3",0.2524
"AQP3",0.7188
"AQP4",0
"AQP5",0
"AQP6",0.2619
"AQP7",0
"AQP7P1",0
"AQP7P3",0
"AQP8",0
"AQP9",-0.0884
"AQR",0
"AR",0.0481
"ARAF",0
"ARAP1",0
"ARAP2",0
"ARAP3",0
"ARC",0
"ARC20",0
"ARCN1",0
"AREG",-0.1642
"AREL1",0
"ARF1",0
"ARF3",0
"ARF4",0.0443
"ARF5",0
"ARF6",-0.3325
"ARFGAP1",0
"ARFGAP2",0
"ARFGAP3",0
"ARFGEF1",-2.4892
"ARFGEF2",-0.5924
"ARFGEF3",0
"ARFIP1",0
"ARFIP2",0
"ARFRP1",0
"ARG1",0
"ARG2",0
