"Gene","PBX1"
"ALG8",0
"ALG9",-1.8642
"ALG9",-1.5085
"ALK",0.1111
"ALKBH1",0
"ALKBH2",0
"ALKBH3",0
"ALKBH4",-0.3627
"ALKBH5",0
"ALKBH6",0
"ALKBH7",0
"ALKBH8",0
"ALMS1",0.7986
"ALMS1",-0.2851
"ALOX12",0
"ALOX12B",0
"ALOX12E",0
"ALOX12P2",0
"ALOX15",0
"ALOX15B",-0.2435
"ALOX5",0
"ALOX5AP",-0.4168
"ALOX5AP",-0.1793
"ALOXE3",-0.1807
"alpha-CP1",0
"ALPI",-0.1944
"ALPK1",0
"ALPK2",0
"ALPK3",0
"ALPL",0
"ALPP",0
"ALPPL2",0
"ALR",0
"ALS2",0
"ALS2CL",0
"ALS2CR11",0
"ALS2CR12",0
"ALS2CR13",-0.3651
"ALS2CR13",0.167
"ALS2CR2",0
"ALS2CR4",0
"ALS2CR8",0.1773
"ALS2CR8",0.0842
"ALX1",0
"ALX3",-0.4138
"ALX4",0
"ALYREF",0
"AMAC1L2",-0.085
"AMACR",-0.7304
"AMBN",0
"AMBP",0
"AMBRA1",0
"AMD1",0
"AMDHD1",0
"AMDHD2",0
"AMELX",0
"AMELY",0
"AMER1",0
"AMER2",0
"AMER3",0
"AMFR",0
"AMH",0.5741
"AMHR2",0
"AMIGO1",0
"AMIGO2",0.5631
"AMIGO3",0
"AML1",0
"AML1 delta-N",0
"AML1AMP19 fusion",0
"AML1EAP",0
"AMMECR1",0
"AMMECR1L",0
"AMN",0
"AMN1",0
"AMOT",-0.6554
"AMOT",-0.0233
"AMOTL1",0
"AMOTL2",-0.1504
"AMPD1",0
"AMPD2",0
"AMPD3",2.0273
"AMPD3",1.33
"AMPH",0
"AMPK gamma2",0
"AMT",-0.2323
"AMT",-0.0281
"AMTN",0
"AMY1A",0
"AMY2A",0
"AMY2B",0
"AMZ1",-0.1341
"AMZ2",0
"A0.0PC1",-0.4614
"A0.0PC10",0
"A0.0PC11",-0.158
"A0.0PC13",-0.1208
"A0.0PC15",0
"A0.0PC16",0
"A0.0PC2",0
"A0.0PC4",0
"A0.0PC5",-0.1397
"A0.0PC5",3.4763
"A0.0PC7",-0.6385
"A0.0PC7",-1.0342
"ANG",0.6064
"ANG-3",0
"ANGEL1",0
"ANGEL2",0
"ANGPT1",0
"ANGPT2",0
"ANGPT4",0
"ANGPTL1",0
"ANGPTL2",0
"ANGPTL3",0
"ANGPTL4",0.6402
"ANGPTL5",0
"ANGPTL6",0
"ANGPTL7",0
