"","Gene","KLF","ZNF","ACTL","GRHL","MLL2","SNAI2_Over","SNAI2_Knockdown","DMNT1","CBX4_Over","CBX4_Knockdown","MAFB1","MPZL3","FDXR","TINCR"
"9906","FUNDC1",NA,NA,NA,-0.00920774142178451,-0.10054831682516,NA,NA,NA,NA,NA,NA,6.30269,2.525125,NA
"9907","FUNDC2",NA,NA,NA,0.217179186751873,0.0947034438831072,NA,NA,NA,NA,NA,NA,1.4433,3.176885,NA
"9908","FUOM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.000507344,NA
"9909","FURIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.5865,24.27095,NA
"9910","FUS",NA,NA,NA,NA,NA,NA,NA,NA,-1.6429476895,NA,NA,0.00814147,0.0251845,NA
"9911","FUS-CHOP",0.011634312,0.006404028,-0.316040931223213,NA,NA,-0.749340640134813,-0.45204413604417,0.333208415705217,NA,NA,0.0222925304586408,NA,NA,0.337489031777627
"9912","FUT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55108,2.688945,NA
"9913","FUT10",NA,NA,NA,-0.105819602849925,0.025485090770796,NA,NA,NA,NA,NA,NA,0.00129747,0.01764115,NA
"9914","FUT11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73941,4.400988159,NA
"9915","FUT2",0.023148965,0.004317255,0.0065862974430482,NA,NA,-0.556128502206438,0.114001908848706,0.365073162896662,NA,NA,-0.0170421109047823,2.02995,6.215,0.194532999037043
"9916","FUT3",NA,NA,NA,NA,NA,NA,NA,NA,1.469823752,1.674059718,NA,1.6507,2.44486,NA
"9917","FUT4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.441146,0.0689145,NA
"9918","FUT5",0.046965475,0.005540809,-0.0209759982002528,NA,NA,-0.50659522984083,0.0936442565421528,0.0710728664758377,1.5281337995,1.512698572,0.0565997202403229,NA,NA,0.0779361606668573
