"Gene","NOTCH3"
"AP4M1",0.3935
"AP4S1",-0.0815
"AP5B1",0
"AP5M1",0
"AP5S1",0
"AP5Z1",0
"APAF1",0
"APBA1",0
"APBA2",-0.3071
"APBA2",-0.1812
"APBA3",0
"APBB1",0.1145
"APBB1",-0.7794
"APBB1IP",0
"APBB2",-0.2302
"APBB3",0
"APC",0
"APC10",0
"APC2",0
"APCDD1",-0.8248
"APCDD1L",0
"APCS",0
"APE",0
"APEH",-0.4655
"APEX1",0
"APEX2",0
"apg-2",0
"APG5L",0
"APH1A",0
"APH1B",0
"API5",0
"APIP",0
"APITD1",0
"APLF",0
"APLN",-0.2611
"APLN",1.0807
"APLN",2.6564
"APLNR",0
"APLP1",0
"APLP2",-2.5964
"APLP2",-0.1543
"APM1",0
"APMAP",0
"APMCF1",0
"APNH",0
"APOA1",0
"APOA1BP",0.0333
"APOA2",0
"APOA4",-0.1264
"APOA4",-0.3267
"APOA5",0
"apoargC",0
"APOARGC",0
"APOB",0
"APOB48R",0
"APOBEC1",0
"APOBEC2",0
"APOBEC3A",-0.4929
"APOBEC3A_B",0
"APOBEC3B",-0.3811
"APOBEC3C",0.924
"APOBEC3D",0
"APOBEC3F",0.6795
"APOBEC3G",0.4775
"APOBEC3H",0
"APOBEC4",0
"APOC1",0.2917
"APOC1",0.2043
"APOC3",-0.3057
"APOC4",-0.0928
"APOD",0
"APOE",-4.9557
"APOF",0
"APOH",0
"APOL1",0
"APOL2",0
"APOL3",0
"APOL4",0
"APOL5",0
"APOL6",0.0686
"APOL6",0.0999
"APOL6",0.7841
"APOLD1",0
"APOLIV",0
"APOM",0
"APOO",0
"APOOL",0
"APOPT1",0
"APP",1.0283
"APPBP2",-0.2715
"APPBP2",-0.2474
"APPILS",0
"APPL",0
"APPL1",0
"APPL2",0
"42826.0000",0
"42827.0000",0
"42828.0000",0
"APRT",0
"APTX",0
"AQP1",0
"AQP10",0
"AQP11",0
"AQP12A",-0.1243
"AQP2",-0.7146
"AQP2",-0.5735
"AQP3",-0.0037
"AQP3",-0.0135
"AQP4",0
"AQP5",0
"AQP6",0.0695
"AQP7",0
"AQP7P1",0
"AQP7P3",0
"AQP8",0
"AQP9",-0.4185
"AQR",0
"AR",0.0804
"ARAF",0
"ARAP1",0
"ARAP2",0
"ARAP3",0
"ARC",0
"ARC20",0
"ARCN1",0
"AREG",0.0268
"AREL1",0
"ARF1",0
"ARF3",0
"ARF4",0.1523
"ARF5",0
"ARF6",-3.7251
"ARFGAP1",0
"ARFGAP2",0
"ARFGAP3",0
"ARFGEF1",-0.0087
"ARFGEF2",-0.0784
"ARFGEF3",0
"ARFIP1",0
"ARFIP2",0
"ARFRP1",0
"ARG1",0
