"","x"
"1248","APOO"
"1249","APOOL"
"1250","APOPT1"
"1251","APP"
"1252","APPBP2"
"1253","APPILS"
"1254","APPL"
"1255","APPL1"
"1256","APPL2"
"1257","APRT"
"1258","APTX"
"1259","AQP1"
"1260","AQP10"
"1261","AQP11"
"1262","AQP12A"
"1263","AQP2"
"1264","AQP3"
"1265","AQP4"
"1266","AQP5"
"1267","AQP6"
"1268","AQP7"
"1269","AQP7P1"
"1270","AQP7P3"
"1271","AQP8"
"1272","AQP9"
"1273","AQR"
"1274","AR"
"1275","ARAF"
"1276","ARAP1"
"1277","ARAP2"
"1278","ARAP3"
"1279","ARC"
"1280","ARC20"
"1281","ARCN1"
"1282","AREG"
"1283","AREL1"
"1284","ARF1"
"1285","ARF3"
"1286","ARF4"
"1287","ARF5"
"1288","ARF6"
"1289","ARFGAP1"
"1290","ARFGAP2"
"1291","ARFGAP3"
"1292","ARFGEF1"
"1293","ARFGEF2"
"1294","ARFGEF3"
"1295","ARFIP1"
"1296","ARFIP2"
"1297","ARFRP1"
"1298","ARG1"
"1299","ARG2"
"1300","ARGFX"
"1301","ARGLU1"
"1302","ARHGAP1"
"1303","ARHGAP10"
"1304","ARHGAP11A"
"1305","ARHGAP11B"
"1306","ARHGAP12"
"1307","ARHGAP15"
"1308","ARHGAP17"
"1309","ARHGAP18"
"1310","ARHGAP19"
"1311","ARHGAP20"
"1312","ARHGAP21"
"1313","ARHGAP22"
"1314","ARHGAP23"
"1315","ARHGAP24"
"1316","ARHGAP25"
"1317","ARHGAP26"
"1318","ARHGAP27"
"1319","ARHGAP28"
"1320","ARHGAP29"
"1321","ARHGAP30"
"1322","ARHGAP31"
"1323","ARHGAP32"
"1324","ARHGAP33"
"1325","ARHGAP35"
"1326","ARHGAP36"
"1327","ARHGAP39"
"1328","ARHGAP4"
"1329","ARHGAP42"
"1330","ARHGAP44"
"1331","ARHGAP45"
"1332","ARHGAP5"
"1333","ARHGAP6"
"1334","ARHGAP8"
"1335","ARHGAP9"
"1336","ARHGDIA"
"1337","ARHGDIB"
"1338","ARHGDIG"
"1339","ARHGEF1"
"1340","ARHGEF10"
"1341","ARHGEF10L"
"1342","ARHGEF11"
"1343","ARHGEF12"
"1344","ARHGEF15"
"1345","ARHGEF16"
"1346","ARHGEF17"
"1347","ARHGEF18"
"1348","ARHGEF19"
"1349","ARHGEF2"
"1350","ARHGEF25"
"1351","ARHGEF26"
"1352","ARHGEF28"
"1353","ARHGEF3"
"1354","ARHGEF35"
"1355","ARHGEF37"
"1356","ARHGEF38"
"1357","ARHGEF39"
"1358","ARHGEF4"
"1359","ARHGEF40"
"1360","ARHGEF5"
"1361","ARHGEF5L"
