"Gene","PRDM1"
"ALG1",0
"ALG10",0
"ALG10B",0
"ALG11",0
"ALG12",0
"ALG13",-0.7643
"ALG14",0
"ALG1L",0
"ALG1L2",0
"ALG2",0.7121
"ALG3",0
"ALG5",0
"ALG6",0
"ALG8",0
"ALG9",1.3968
"ALG9",0.2094
"ALK",0.2364
"ALKBH1",0
"ALKBH2",0
"ALKBH3",0
"ALKBH4",0.0803
"ALKBH5",0
"ALKBH6",0
"ALKBH7",0
"ALKBH8",0
"ALMS1",0.9533
"ALMS1",-0.4119
"ALOX12",0
"ALOX12B",0
"ALOX12E",0
"ALOX12P2",0
"ALOX15",0
"ALOX15B",1.53
"ALOX5",0
"ALOX5AP",-0.141
"ALOX5AP",0.0356
"ALOXE3",0.2886
"alpha-CP1",0
"ALPI",-0.1698
"ALPK1",0
"ALPK2",0
"ALPK3",0
"ALPL",0
"ALPP",0
"ALPPL2",0
"ALR",0
"ALS2",0
"ALS2CL",0
"ALS2CR11",0
"ALS2CR12",0
"ALS2CR13",-0.234
"ALS2CR13",1.3393
"ALS2CR2",0
"ALS2CR4",0
"ALS2CR8",0.1876
"ALS2CR8",0.2523
"ALX1",0
"ALX3",-0.5174
"ALX4",0
"ALYREF",0
"AMAC1L2",-0.187
"AMACR",-0.4524
"AMBN",0
"AMBP",0
"AMBRA1",0
"AMD1",0
"AMDHD1",0
"AMDHD2",0
"AMELX",0
"AMELY",0
"AMER1",0
"AMER2",0
"AMER3",0
"AMFR",0
"AMH",0.3864
"AMHR2",0
"AMIGO1",0
"AMIGO2",-1.1851
"AMIGO3",0
"AML1",0
"AML1 delta-N",0
"AML1AMP19 fusion",0
"AML1EAP",0
"AMMECR1",0
"AMMECR1L",0
"AMN",0
"AMN1",0
"AMOT",-0.3882
"AMOT",0.1264
"AMOTL1",0
"AMOTL2",0.0515
"AMPD1",0
"AMPD2",0
"AMPD3",0.2416
"AMPD3",1.55
"AMPH",0
"AMPK gamma2",0
"AMT",-0.4158
"AMT",-0.1318
"AMTN",0
"AMY1A",0
"AMY2A",0
"AMY2B",0
"AMZ1",-0.2292
"AMZ2",0
"A0.0PC1",-0.1076
"A0.0PC10",0
"A0.0PC11",-0.2884
"A0.0PC13",-0.1627
"A0.0PC15",0
"A0.0PC16",0
"A0.0PC2",0
"A0.0PC4",0
"A0.0PC5",-0.3247
"A0.0PC5",0.9839
"A0.0PC7",-0.9984
"A0.0PC7",-1.1397
"ANG",0.4459
"ANG-3",0
"ANGEL1",0
"ANGEL2",0
"ANGPT1",0
"ANGPT2",0
"ANGPT4",0
"ANGPTL1",0
"ANGPTL2",0
"ANGPTL3",0
"ANGPTL4",-0.1528
"ANGPTL5",0
"ANGPTL6",0
"ANGPTL7",0
"ANGPTL8",0
"ANHX",0
"ANK",0
"ANK1",0
"ANK2",0
"ANK3",0.2672
"ANK3",-1.0465
"ANKAR",0
"ANKDD1A",-0.0409
"ANKEF1",0
"ANKFN1",0
"ANKFY1",0
"ANKH",-0.2247
"ANKH",-0.1449
"ANKHD1",-0.2361
"ANKHD1",-4.4242
"ANKHD1",-1.6324
"ANKHD1-EIF4EBP3",0
"ANKHZN",0
"ANKIB1",0
"ANKK1",0
"ANKLE1",0
"ANKLE2",0
"ANKMY1",0
"ANKMY2",0.3676
"ANKRA2",0
"ANKRD1",0.224
"ANKRD10",-0.061
"ANKRD10",0.0823
"ANKRD11",0
"ANKRD12",0.1763
"ANKRD12",0.3746
"ANKRD13A",-0.2831
"ANKRD13A",0.034
"ANKRD13B",0
"ANKRD13C",0
"ANKRD13D",0
"ANKRD15",-0.0168
"ANKRD15",-3.6558
"ANKRD16",0
"ANKRD17",-0.7062
"ANKRD17",0.148
"ANKRD18A",0
"ANKRD18B",0
"ANKRD19",0
"ANKRD19P",0
"ANKRD2",0
"ANKRD20A1",0
"ANKRD20A2",0
"ANKRD20A3",0
"ANKRD20A4",0
"ANKRD20A8P",0
"ANKRD20A9P",0
"ANKRD22",-1.9172
"ANKRD23",0
"ANKRD24",0
"ANKRD26",0
"ANKRD27",0
"ANKRD28",-0.0901
"ANKRD28",0.6448
"ANKRD29",0
"ANKRD3",0
"ANKRD30A",0.2275
"ANKRD30B",0
"ANKRD31",0
"ANKRD33",0
"ANKRD33B",0
"ANKRD34A",0
"ANKRD34B",0
"ANKRD35",0
"ANKRD36",0
"ANKRD36B",0
"ANKRD37",0
"ANKRD39",0
"ANKRD40",-0.209
"ANKRD42",0
"ANKRD43",-0.1839
"ANKRD43",0.0666
"ANKRD44",0
"ANKRD46",0
"ANKRD47",0.7656
"ANKRD47",-0.102
"ANKRD49",0.3855
"ANKRD50",0
"ANKRD52",0
"ANKRD53",0
"ANKRD54",0
"ANKRD55",0
"ANKRD57",0.6415
"ANKRD6",0
"ANKRD61",0
"ANKRD62",0
"ANKRD63",0
"ANKRD65",0
"ANKRD7",0
"ANKRD9",0
"ANKS1A",0
"ANKS1B",0
"ANKS3",0
"ANKS4B",0
"ANKS6",0
"ANKTM1",0
"ANKUB1",0
"ANKZF1",0
"ANLN",-2.8722
"ANO1",0
"ANO10",0
"ANO2",0
"ANO3",0
"ANO4",0
"ANO5",0
"ANO6",0
"ANO7",0
"ANO8",0
"ANO9",0
"ANOS1",0
"ANOS2P",0
"ANP32A",-0.4023
"ANP32B",0
"ANP32C",0
"ANP32D",0
"ANP32E",0
"ANPEP",0
"anti-colorectal carcinoma heavy chain",0
"anti-colorectal carcinoma light chain",0
"ANTXR1",0
"ANTXR2",-0.2406
"ANTXR2",-1.0624
"ANX14",0
"ANX3",0
"ANXA1",0.0477
"ANXA10",0
"ANXA11",-0.1593
"ANXA11",0.765
"ANXA13",0
"ANXA2",0
"ANXA2P1",0.3821
"ANXA2P2",0
"ANXA2R",0
"ANXA3",0.2917
"ANXA4",-0.0041
"ANXA5",-0.1242
"ANXA6",0
"ANXA7",0
"ANXA8",-0.0532
"ANXA8L1",0
"ANXA9",-1.205
"AOAH",0
"AOC1",0
"AOC2",0
"AOC3",0
"AOF1",-0.4082
"AOF1",-0.1786
"AOF2",-1.7647
"AOX",0
"AOX1",0
"AP-2B",0
"AP1AR",0
"AP1G1",0
"AP1G2",0
"AP1GBP1",-0.0209
"AP1M1",1.3421
"AP1M2",0
"AP1S1",0
"AP1S2",0
"AP1S3",0
"AP2A1",0
"AP2A2",0
"AP2B1",0
"AP2M1",0
"AP2S1",-0.3849
"AP3B1",0
"AP3B2",0
"AP3D1",-0.2686
"AP3D1",6.363
"AP3M1",0
"AP3M2",-0.2232
"AP3S1",0
"AP3S2",0
"AP4",0
"AP4B1",0.3455
"AP4E1",0
"AP4M1",-0.0443
"AP4S1",-0.1218
"AP5B1",0
"AP5M1",0
"AP5S1",0
"AP5Z1",0
"APAF1",0
"APBA1",0
"APBA2",-0.7007
"APBA2",-0.4657
"APBA3",0
"APBB1",0.7337
"APBB1",-0.8521
"APBB1IP",0
"APBB2",3.983
"APBB3",0
"APC",0
"APC10",0
"APC2",0
"APCDD1",0.2569
"APCDD1L",0
"APCS",0
"APE",0
"APEH",0.8856
"APEX1",0
"APEX2",0
"apg-2",0
"APG5L",0
"APH1A",0
"APH1B",0
"API5",0
"APIP",0
"APITD1",0
"APLF",0
"APLN",0.1123
"APLN",0.7965
"APLN",3.3814
"APLNR",0
"APLP1",0
"APLP2",1.6451
"APLP2",-0.1719
"APM1",0
"APMAP",0
"APMCF1",0
"APNH",0
"APOA1",0
"APOA1BP",-0.0675
"APOA2",0
"APOA4",0.2737
"APOA4",-0.1029
"APOA5",0
"apoargC",0
"APOARGC",0
"APOB",0
"APOB48R",0
"APOBEC1",0
"APOBEC2",0
"APOBEC3A",-0.5844
"APOBEC3A_B",0
"APOBEC3B",-0.3408
"APOBEC3C",0.0534
"APOBEC3D",0
"APOBEC3F",0.132
"APOBEC3G",-0.0295
"APOBEC3H",0
"APOBEC4",0
"APOC1",0.3531
"APOC1",0.4628
"APOC3",-0.1448
"APOC4",0.4882
"APOD",0
"APOE",-2.4491
"APOF",0
"APOH",0
"APOL1",0
"APOL2",0
"APOL3",0
"APOL4",0
"APOL5",0
"APOL6",0.3354
"APOL6",0.2168
"APOL6",-1.2361
"APOLD1",0
"APOLIV",0
"APOM",0
"APOO",0
"APOOL",0
"APOPT1",0
"APP",2.4423
"APPBP2",-0.418
"APPBP2",-0.0114
"APPILS",0
"APPL",0
"APPL1",0
"APPL2",0
"42826.0000",0
"42827.0000",0
"42828.0000",0
"APRT",0
"APTX",0
"AQP1",0
"AQP10",0
"AQP11",0
"AQP12A",0.2107
"AQP2",0.1614
"AQP2",-0.8661
"AQP3",0.7925
"AQP3",3.9047
"AQP4",0
"AQP5",0
"AQP6",0.247
"AQP7",0
"AQP7P1",0
"AQP7P3",0
"AQP8",0
"AQP9",0.2373
"AQR",0
"AR",0.2274
"ARAF",0
"ARAP1",0
"ARAP2",0
"ARAP3",0
"ARC",0
"ARC20",0
"ARCN1",0
"AREG",-0.1117
"AREL1",0
"ARF1",0
"ARF3",0
"ARF4",-0.0843
"ARF5",0
"ARF6",0.3159
"ARFGAP1",0
"ARFGAP2",0
"ARFGAP3",0
"ARFGEF1",0.7707
"ARFGEF2",-0.4113
"ARFGEF3",0
"ARFIP1",0
"ARFIP2",0
"ARFRP1",0
"ARG1",0
"ARG2",0
"ARGFX",0
"ARGLU1",0
