"Gene","ATF5"
"ANKRD20A4",0
"ANKRD20A8P",0
"ANKRD20A9P",0
"ANKRD22",0.8025
"ANKRD23",0
"ANKRD24",0
"ANKRD26",0
"ANKRD27",0
"ANKRD28",-0.1627
"ANKRD28",1.0157
"ANKRD29",0
"ANKRD3",0
"ANKRD30A",0.1284
"ANKRD30B",0
"ANKRD31",0
"ANKRD33",0
"ANKRD33B",0
"ANKRD34A",0
"ANKRD34B",0
"ANKRD35",0
"ANKRD36",0
"ANKRD36B",0
"ANKRD37",0
"ANKRD39",0
"ANKRD40",-0.1549
"ANKRD42",0
"ANKRD43",-0.5116
"ANKRD43",0.2743
"ANKRD44",0
"ANKRD46",0
"ANKRD47",0.4616
"ANKRD47",-0.1165
"ANKRD49",-0.0089
"ANKRD50",0
"ANKRD52",0
"ANKRD53",0
"ANKRD54",0
"ANKRD55",0
"ANKRD57",1.9005
"ANKRD6",0
"ANKRD61",0
"ANKRD62",0
"ANKRD63",0
"ANKRD65",0
"ANKRD7",0
"ANKRD9",0
"ANKS1A",0
"ANKS1B",0
"ANKS3",0
"ANKS4B",0
"ANKS6",0
"ANKTM1",0
"ANKUB1",0
"ANKZF1",0
"ANLN",1.4458
"ANO1",0
"ANO10",0
"ANO2",0
"ANO3",0
"ANO4",0
"ANO5",0
"ANO6",0
"ANO7",0
"ANO8",0
"ANO9",0
"ANOS1",0
"ANOS2P",0
"ANP32A",-1.4781
"ANP32B",0
"ANP32C",0
"ANP32D",0
"ANP32E",0
"ANPEP",0
"anti-colorectal carcinoma heavy chain",0
"anti-colorectal carcinoma light chain",0
"ANTXR1",0
"ANTXR2",-0.0826
"ANTXR2",0.2258
"ANX14",0
"ANX3",0
"ANXA1",-0.2019
"ANXA10",0
"ANXA11",0.0375
"ANXA11",-0.1591
"ANXA13",0
"ANXA2",0
"ANXA2P1",-0.0649
"ANXA2P2",0
"ANXA2R",0
"ANXA3",-0.0279
"ANXA4",0.3622
"ANXA5",0.0257
"ANXA6",0
"ANXA7",0
"ANXA8",0.0064
"ANXA8L1",0
"ANXA9",0.4775
"AOAH",0
"AOC1",0
"AOC2",0
"AOC3",0
"AOF1",-0.2238
"AOF1",-0.2872
"AOF2",-1.0821
"AOX",0
"AOX1",0
"AP-2B",0
"AP1AR",0
"AP1G1",0
"AP1G2",0
"AP1GBP1",-0.0419
