"Gene","RELB"
"BTN3A3",0.266907058
"BUB1B",1.244154426
"BUD13",-0.324368069
"BUD31",0.283670163
"BXDC5",-0.086525842
"BZRAP1",-0.109580901
"BZW1",0.096851953
"C10orf10",0.093260921
"C10orf104",0.052097766
"C10orf47",-0.040999733
"C10orf58",-0.098698628
"C10orf61",-0.283581499
"C10orf83",0.075283091
"C10orf88",-0.038301028
"C10orf89",-0.304288659
"C11orf1",-0.055408072
"C11orf10",-0.158447817
"C11orf2",-0.093223699
"C11orf36",-0.018605949
"C11orf41",0.301699129
"C11orf45",0.292648912
"C11orf52",0.291696514
"C11orf54",-0.39219154
"C11orf58",0.296910035
"C11orf61",-0.426193901
"C11orf63",-0.137636664
"C11orf67",4.291658842
"C11orf68",0.37301859
"C11orf69",0.055000906
"C11orf71",-0.123376073
"C11orf75",0.536560311
"C11orf77",-0.15176366
"C12orf11",1.155148841
"C12orf22",0.195298243
"C12orf23",0.045171153
"C12orf35",0.616864131
"C12orf46",-2.183367289
"C12orf54",0.368821726
"C12orf57",-0.252717089
"C12orf60",0.09080399
"C13orf1",0.242869297
"C13orf27",0.068334053
"C14orf102",0.078345711
"C14orf103",-0.254683536
"C14orf104",-1.484781766
"C14orf111",-0.019352708
"C14orf112",8.2e-05
"C14orf118",-0.049952624
"C14orf128",-0.782560356
"C14orf135",-0.35220679
"C14orf145",-0.02776842
"C14orf159",0.56397588
"C14orf169",0.343834501
"C14orf179",-0.053054296
"C14orf32",0.212517236
"C14orf4",1.298740234
"C14orf43",-0.831386969
"C14orf46",0.045586828
"C14orf65",-0.297672284
"C14orf80",0.379101289
"C14orf93",0.555474755
"C15orf23",-0.106338692
"C15orf29",-0.266934191
"C15orf38",0.345015512
"C15orf39",5.50958431
"C15orf42",1.705618565
"C15orf51",0.131232108
"C16orf30",-2.136532975
"C16orf58",0.210830516
"C16orf61",-0.128196218
"C16orf63",-0.114431223
"C16orf69",-0.381278988
"C16orf71",0.119734895
"C17orf27",0.13629344
"C17orf32",-0.856518187
"C17orf39",0.033650971
"C17orf41",0.070548252
"C17orf71",-0.093997575
"C17orf74",0.059948388
"C17orf75",-0.696507199
"C18orf10",-0.250367804
"C18orf25",-0.268360005
"C18orf4",-0.081076639
"C18orf45",-0.050482143
"C19orf2",2.175261707
"C19orf39",0.278779496
"C19orf40",0.086390222
"C19orf46",1.037604316
"C1D",-0.327526231
"C1orf103",-0.41074209
"C1orf107",-0.470857103
"C1orf112",-0.701069525
"C1orf116",-0.490396812
"C1orf121",-0.301816281
"C1orf126",0.150678947
"C1orf135",0.022270531
"C1orf149",1.284563903
"C1orf152",-0.236083624
"C1orf159",0.056773014
"C1orf160",1.351236483
"C1orf166",-1.076636949
"C1orf177",0.079247484
"C1orf183",1.244863045
"C1orf188",-0.032626089
"C1orf25",0.111881662
"C1orf31",0.137574202
"C1orf34",-0.504827129
"C1orf51",-0.605790226
"C1orf53",-0.007047627
"C1orf55",-0.1695142
"C1orf63",-0.686390406
"C1orf69",-0.098510116
"C1orf75",-0.046143828
"C1orf9",-0.359884684
"C1QBP",0.093069695
"C1QTNF4",-0.005568963
"C20orf10",-0.360307352
"C20orf100",0.567315805
"C20orf102",0.199586515
"C20orf108",-0.132234372
"C20orf11",0.241076682
"C20orf141",0.277199671
"C20orf151",-0.112674748
"C20orf160",-0.101117125
"C20orf177",-0.123718232
"C20orf191",0.003750973
"C20orf199",-0.075911913
"C20orf26",0.404044836
"C20orf29",0.552667695
"C20orf4",-3.41553718
"C20orf42",0.00840489
"C20orf58",-0.417673747
"C20orf82",-0.34013345
"C20orf94",0.263050515
"C21orf122",-0.112624758
"C21orf25",-0.089948138
"C21orf45",-0.695142682
"C21orf6",0.078584295
"C22orf32",-0.046427121
"C2orf13",-0.061885249
"C2orf34",-0.285212801
"C2orf4",-3.453658059
"C3",0.557136353
"C3orf1",-0.046102603
"C3orf26",-0.102854143
"C3orf28",0.009545957
"C3orf57",-0.531104071
"C3orf58",-0.200572924
"C3orf59",-0.347431086
"C3orf63",-0.392812371
"C4B",-0.422119576
"C4orf14",-0.065822225
"C4orf26",0.409228873
"C4orf28",-0.576426271
"C4orf29",-0.223910924
"C4orf30",0.15696326
"C4orf31",0.087099856
"C4orf34",-0.693761901
"C4orf9",-0.112525933
"C5orf13",0.053518972
"C5orf30",-0.687879374
"C5orf4",0.178765572
"C6orf105",0.048063598
"C6orf125",-0.021228974
"C6orf128",-0.236551861
"C6orf150",0.018203656
"C6orf166",0.217920288
"C6orf167",-0.022971747
"C6orf35",0.002539546
"C6orf48",0.133720749
"C6orf52",0.041776092
"C6orf61",-0.288406344
"C6orf62",3.524181393
"C6orf85",-0.237236819
"C7orf11",0.104266515
"C7orf23",-0.476565076
"C7orf25",-0.176673765
"C7orf27",-0.530976516
"C7orf28B",0.134087772
"C7orf44",0.162899152
"C7orf47",-0.305575626
"C8orf13",0.05331183
"C8orf32",-0.279777308
"C8orf33",-0.044703917
"C8orf44",-0.238644278
"C8orf55",0.663716062
"C8orf70",1.401456326
"C8orf72",-0.055701137
"C9orf100",-0.115882586
"C9orf114",0.514981551
"C9orf126",-0.093458085
"C9orf139",-0.097317869
"C9orf150",1.408641064
"C9orf156",-0.09947604
"C9orf19",-0.718763938
"C9orf3",2.472503802
"C9orf30",-0.792134969
"C9orf40",-0.277559402
"C9orf5",-0.132317303
"C9orf64",-0.111286244
"C9orf72",-0.242937156
"C9orf78",1.427854264
"C9orf91",-0.194632093
"C9orf94",-0.197744755
"CA10",0.005815771
"CA11",0.230038558
"CA12",0.08498065
"CA2",-0.463888083
"CA4",0.033915975
"CA5B",-0.165835085
"CA6",-0.071881252
"CA7",-0.628678752
"CAB39",1.779405011
"CABC1",0.025456971
"CABIN1",0.669878397
"CABLES2",0.317372356
"CABP7",0.581585931
"CACHD1",0.03799335
"CACNA1C",-0.044520686
"CACNA2D2",0.054808531
"CACNA2D3",-0.288226095
"CACNG4",-0.348617157
"CACNG7",-0.133504941
"CACNG8",0.50167216
"CACYBP",0.09611978
"CAD",-0.668914519
"CALB2",-0.072311945
"CALCA",-0.296096976
