"Gene","FOS"
"ALOX12E",0
"ALOX12P2",0
"ALOX15",0
"ALOX15B",0.6332
"ALOX5",0
"ALOX5AP",0.3
"ALOX5AP",0.031
"ALOXE3",0.231
"alpha-CP1",0
"ALPI",0.2592
"ALPK1",0
"ALPK2",0
"ALPK3",0
"ALPL",0
"ALPP",0
"ALPPL2",0
"ALR",0
"ALS2",0
"ALS2CL",0
"ALS2CR11",0
"ALS2CR12",0
"ALS2CR13",0.5284
"ALS2CR13",-0.2772
"ALS2CR2",0
"ALS2CR4",0
"ALS2CR8",0.2965
"ALS2CR8",0.3576
"ALX1",0
"ALX3",-0.1633
"ALX4",0
"ALYREF",0
"AMAC1L2",0.1083
"AMACR",0.1567
"AMBN",0
"AMBP",0
"AMBRA1",0
"AMD1",0
"AMDHD1",0
"AMDHD2",0
"AMELX",0
"AMELY",0
"AMER1",0
"AMER2",0
"AMER3",0
"AMFR",0
"AMH",0.1932
"AMHR2",0
"AMIGO1",0
"AMIGO2",-0.1871
"AMIGO3",0
"AML1",0
"AML1 delta-N",0
"AML1AMP19 fusion",0
"AML1EAP",0
"AMMECR1",0
"AMMECR1L",0
"AMN",0
"AMN1",0
"AMOT",-0.4972
"AMOT",-0.0099
"AMOTL1",0
"AMOTL2",-0.1234
"AMPD1",0
"AMPD2",0
"AMPD3",1.7962
"AMPD3",1.3059
"AMPH",0
"AMPK gamma2",0
"AMT",0.1603
"AMT",0.1043
"AMTN",0
"AMY1A",0
"AMY2A",0
"AMY2B",0
"AMZ1",-0.163
"AMZ2",0
"A0.0PC1",0.3539
"A0.0PC10",0
"A0.0PC11",-0.163
"A0.0PC13",-0.6236
"A0.0PC15",0
"A0.0PC16",0
"A0.0PC2",0
"A0.0PC4",0
"A0.0PC5",-0.0449
"A0.0PC5",0.8563
"A0.0PC7",-0.0819
"A0.0PC7",-0.209
"ANG",0.7054
"ANG-3",0
"ANGEL1",0
"ANGEL2",0
"ANGPT1",0
"ANGPT2",0
"ANGPT4",0
"ANGPTL1",0
"ANGPTL2",0
"ANGPTL3",0
"ANGPTL4",1.6216
"ANGPTL5",0
"ANGPTL6",0
"ANGPTL7",0
"ANGPTL8",0
"ANHX",0
"ANK",0
"ANK1",0
"ANK2",0
"ANK3",0.0835
"ANK3",0.2898
"ANKAR",0
"ANKDD1A",0.0318
"ANKEF1",0
"ANKFN1",0
"ANKFY1",0
"ANKH",0.1791
"ANKH",-0.1255
