"Gene","FOXN2"
"ALAS2",0
"ALB",0
"ALCAM",0
"ALDH1",0
"ALDH12",0
"ALDH16A1",0
"ALDH18A1",0
"ALDH1A1",0
"ALDH1A2",0
"ALDH1A3",0.0326
"ALDH1A3",-0.0248
"ALDH1B1",-0.742
"ALDH1B1",-0.5841
"ALDH1L1",0
"ALDH1L2",0.0375
"ALDH2",0
"ALDH3A1",0.2292
"ALDH3A2",-0.7164
"ALDH3B1",0
"ALDH3B2",-0.3627
"ALDH4A1",-0.2162
"ALDH4A1",0.7665
"ALDH5",0
"ALDH5A1",0
"ALDH6A1",0.0719
"ALDH7A1",-0.0845
"ALDH8A1",0
"ALDH9A1",-2.3029
"ALDOA",0
"ALDOAP2",0
"ALDOB",0
"ALDOC",0
"ALEX3",0
"ALG1",0
"ALG10",0
"ALG10B",0
"ALG11",0
"ALG12",0
"ALG13",0.4765
"ALG14",0
"ALG1L",0
"ALG1L2",0
"ALG2",-0.8225
"ALG3",0
"ALG5",0
"ALG6",0
"ALG8",0
"ALG9",-1.2475
"ALG9",-1.1805
"ALK",0.0394
"ALKBH1",0
"ALKBH2",0
"ALKBH3",0
"ALKBH4",-0.1727
"ALKBH5",0
"ALKBH6",0
"ALKBH7",0
"ALKBH8",0
"ALMS1",2.0397
"ALMS1",-0.0993
"ALOX12",0
"ALOX12B",0
"ALOX12E",0
"ALOX12P2",0
"ALOX15",0
"ALOX15B",-0.52
"ALOX5",0
"ALOX5AP",-0.1438
"ALOX5AP",-0.1041
"ALOXE3",-0.3196
"alpha-CP1",0
"ALPI",-0.059
"ALPK1",0
"ALPK2",0
"ALPK3",0
"ALPL",0
"ALPP",0
"ALPPL2",0
"ALR",0
"ALS2",0
"ALS2CL",0
"ALS2CR11",0
"ALS2CR12",0
"ALS2CR13",-0.0068
"ALS2CR13",0.6164
"ALS2CR2",0
"ALS2CR4",0
"ALS2CR8",0.0759
"ALS2CR8",0.0155
"ALX1",0
"ALX3",-0.6153
"ALX4",0
"ALYREF",0
"AMAC1L2",-0.119
"AMACR",-0.8967
"AMBN",0
"AMBP",0
"AMBRA1",0
"AMD1",0
"AMDHD1",0
"AMDHD2",0
"AMELX",0
"AMELY",0
"AMER1",0
"AMER2",0
"AMER3",0
"AMFR",0
"AMH",0.3614
"AMHR2",0
"AMIGO1",0
"AMIGO2",1.1735
"AMIGO3",0
"AML1",0
"AML1 delta-N",0
"AML1AMP19 fusion",0
"AML1EAP",0
"AMMECR1",0
"AMMECR1L",0
"AMN",0
"AMN1",0
"AMOT",-0.7399
"AMOT",-0.0962
"AMOTL1",0
"AMOTL2",-0.1962
"AMPD1",0
"AMPD2",0
"AMPD3",1.3213
"AMPD3",0.7233
"AMPH",0
"AMPK gamma2",0
"AMT",-0.221
"AMT",-0.2614
"AMTN",0
"AMY1A",0
"AMY2A",0
"AMY2B",0
"AMZ1",-0.074
"AMZ2",0
"A0.0PC1",-0.2157
"A0.0PC10",0
"A0.0PC11",-0.2101
"A0.0PC13",-1.3718
"A0.0PC15",0
"A0.0PC16",0
"A0.0PC2",0
"A0.0PC4",0
"A0.0PC5",-0.1358
"A0.0PC5",2.0761
"A0.0PC7",-0.5265
"A0.0PC7",-0.8387
"ANG",0.3474
"ANG-3",0
"ANGEL1",0
"ANGEL2",0
"ANGPT1",0
"ANGPT2",0
"ANGPT4",0
"ANGPTL1",0
"ANGPTL2",0
"ANGPTL3",0
"ANGPTL4",0.0846
"ANGPTL5",0
"ANGPTL6",0
"ANGPTL7",0
"ANGPTL8",0
"ANHX",0
"ANK",0
"ANK1",0
"ANK2",0
"ANK3",-0.0357
"ANK3",0.1535
"ANKAR",0
"ANKDD1A",-0.0048
"ANKEF1",0
"ANKFN1",0
"ANKFY1",0
"ANKH",-0.2318
"ANKH",0.1458
"ANKHD1",-0.7192
"ANKHD1",-4.3604
"ANKHD1",-1.7546
"ANKHD1-EIF4EBP3",0
"ANKHZN",0
"ANKIB1",0
"ANKK1",0
"ANKLE1",0
"ANKLE2",0
"ANKMY1",0
"ANKMY2",-0.0572
"ANKRA2",0
"ANKRD1",-0.0029
"ANKRD10",0.1297
"ANKRD10",-0.0725
"ANKRD11",0
"ANKRD12",-0.0935
"ANKRD12",0.0327
"ANKRD13A",0.0075
"ANKRD13A",-2.1247
"ANKRD13B",0
"ANKRD13C",0
"ANKRD13D",0
"ANKRD15",-0.1086
"ANKRD15",3.1517
"ANKRD16",0
"ANKRD17",0.3397
"ANKRD17",-0.5816
"ANKRD18A",0
"ANKRD18B",0
"ANKRD19",0
"ANKRD19P",0
"ANKRD2",0
"ANKRD20A1",0
"ANKRD20A2",0
"ANKRD20A3",0
"ANKRD20A4",0
"ANKRD20A8P",0
"ANKRD20A9P",0
"ANKRD22",-0.0548
"ANKRD23",0
"ANKRD24",0
"ANKRD26",0
"ANKRD27",0
"ANKRD28",-0.2753
"ANKRD28",0.1335
"ANKRD29",0
"ANKRD3",0
"ANKRD30A",0.0269
"ANKRD30B",0
"ANKRD31",0
"ANKRD33",0
"ANKRD33B",0
"ANKRD34A",0
"ANKRD34B",0
"ANKRD35",0
"ANKRD36",0
"ANKRD36B",0
"ANKRD37",0
"ANKRD39",0
"ANKRD40",-0.1473
"ANKRD42",0
"ANKRD43",-0.3955
"ANKRD43",-0.0208
"ANKRD44",0
"ANKRD46",0
"ANKRD47",0.2302
"ANKRD47",-0.2871
"ANKRD49",-0.3234
"ANKRD50",0
"ANKRD52",0
"ANKRD53",0
"ANKRD54",0
"ANKRD55",0
"ANKRD57",-6.2085
"ANKRD6",0
"ANKRD61",0
"ANKRD62",0
"ANKRD63",0
"ANKRD65",0
"ANKRD7",0
"ANKRD9",0
"ANKS1A",0
"ANKS1B",0
"ANKS3",0
"ANKS4B",0
"ANKS6",0
"ANKTM1",0
"ANKUB1",0
"ANKZF1",0
"ANLN",0.1967
"ANO1",0
"ANO10",0
"ANO2",0
"ANO3",0
"ANO4",0
"ANO5",0
"ANO6",0
"ANO7",0
"ANO8",0
"ANO9",0
"ANOS1",0
"ANOS2P",0
"ANP32A",-1.0322
"ANP32B",0
"ANP32C",0
"ANP32D",0
"ANP32E",0
"ANPEP",0
"anti-colorectal carcinoma heavy chain",0
"anti-colorectal carcinoma light chain",0
"ANTXR1",0
"ANTXR2",-0.1204
"ANTXR2",-1.3069
"ANX14",0
"ANX3",0
"ANXA1",-0.1486
"ANXA10",0
"ANXA11",-0.1199
"ANXA11",0.0526
"ANXA13",0
"ANXA2",0
"ANXA2P1",0.1446
"ANXA2P2",0
"ANXA2R",0
"ANXA3",0.1762
"ANXA4",0.1022
"ANXA5",0.104
"ANXA6",0
"ANXA7",0
"ANXA8",-0.0616
"ANXA8L1",0
"ANXA9",0.4725
"AOAH",0
"AOC1",0
"AOC2",0
"AOC3",0
"AOF1",-0.2846
"AOF1",-0.0925
"AOF2",-1.2584
"AOX",0
"AOX1",0
"AP-2B",0
"AP1AR",0
"AP1G1",0
"AP1G2",0
"AP1GBP1",-0.0795
"AP1M1",1.7691
"AP1M2",0
"AP1S1",0
"AP1S2",0
"AP1S3",0
"AP2A1",0
"AP2A2",0
"AP2B1",0
"AP2M1",0
"AP2S1",0.0048
"AP3B1",0
"AP3B2",0
"AP3D1",-0.2382
"AP3D1",5.3244
"AP3M1",0
"AP3M2",-0.3427
"AP3S1",0
"AP3S2",0
"AP4",0
"AP4B1",-0.3125
"AP4E1",0
"AP4M1",-0.0439
"AP4S1",0.0596
"AP5B1",0
"AP5M1",0
"AP5S1",0
"AP5Z1",0
"APAF1",0
"APBA1",0
"APBA2",-0.5767
"APBA2",-0.315
"APBA3",0
"APBB1",-0.0927
"APBB1",-1.0075
"APBB1IP",0
"APBB2",-0.5629
"APBB3",0
"APC",0
"APC10",0
"APC2",0
"APCDD1",-1.1422
"APCDD1L",0
"APCS",0
"APE",0
"APEH",0.9983
"APEX1",0
"APEX2",0
"apg-2",0
"APG5L",0
"APH1A",0
"APH1B",0
"API5",0
"APIP",0
"APITD1",0
"APLF",0
"APLN",0.1647
"APLN",1.6246
"APLN",2.0048
"APLNR",0
"APLP1",0
"APLP2",0.5992
"APLP2",-0.1505
"APM1",0
"APMAP",0
"APMCF1",0
"APNH",0
"APOA1",0
"APOA1BP",0.1845
"APOA2",0
"APOA4",-0.285
"APOA4",-0.2149
"APOA5",0
"apoargC",0
"APOARGC",0
"APOB",0
"APOB48R",0
"APOBEC1",0
"APOBEC2",0
"APOBEC3A",0.4454
"APOBEC3A_B",0
"APOBEC3B",-0.1007
"APOBEC3C",0.1692
"APOBEC3D",0
"APOBEC3F",0.1562
"APOBEC3G",0.3279
"APOBEC3H",0
"APOBEC4",0
"APOC1",1.0672
"APOC1",0.9078
"APOC3",-0.3677
"APOC4",0.0597
"APOD",0
"APOE",-0.5437
"APOF",0
"APOH",0
"APOL1",0
"APOL2",0
"APOL3",0
"APOL4",0
"APOL5",0
"APOL6",0.0652
"APOL6",-0.0955
"APOL6",-0.5823
"APOLD1",0
"APOLIV",0
"APOM",0
"APOO",0
"APOOL",0
"APOPT1",0
"APP",-0.396
"APPBP2",-0.004
"APPBP2",-0.315
"APPILS",0
"APPL",0
"APPL1",0
"APPL2",0
"42826.0000",0
"42827.0000",0
"42828.0000",0
"APRT",0
"APTX",0
"AQP1",0
"AQP10",0
"AQP11",0
"AQP12A",-0.1848
"AQP2",-0.8046
"AQP2",-0.1355
"AQP3",0.0961
"AQP3",0.3039
"AQP4",0
"AQP5",0
"AQP6",0.2821
"AQP7",0
"AQP7P1",0
"AQP7P3",0
"AQP8",0
"AQP9",-0.301
"AQR",0
"AR",0.4962
