"Gene","FOSB"
"AML1",0
"AML1 delta-N",0
"AML1AMP19 fusion",0
"AML1EAP",0
"AMMECR1",0
"AMMECR1L",0
"AMN",0
"AMN1",0
"AMOT",-0.6629
"AMOT",0.2305
"AMOTL1",0
"AMOTL2",-0.0295
"AMPD1",0
"AMPD2",0
"AMPD3",0.9501
"AMPD3",0.0126
"AMPH",0
"AMPK gamma2",0
"AMT",0.398
"AMT",0.0681
"AMTN",0
"AMY1A",0
"AMY2A",0
"AMY2B",0
"AMZ1",0.4248
"AMZ2",0
"A0.0PC1",0.7504
"A0.0PC10",0
"A0.0PC11",-0.1403
"A0.0PC13",0.423
"A0.0PC15",0
"A0.0PC16",0
"A0.0PC2",0
"A0.0PC4",0
"A0.0PC5",-0.023
"A0.0PC5",0.4359
"A0.0PC7",0.0103
"A0.0PC7",0.2567
"ANG",1.4111
"ANG-3",0
"ANGEL1",0
"ANGEL2",0
"ANGPT1",0
"ANGPT2",0
"ANGPT4",0
"ANGPTL1",0
"ANGPTL2",0
"ANGPTL3",0
"ANGPTL4",1.68
"ANGPTL5",0
"ANGPTL6",0
"ANGPTL7",0
"ANGPTL8",0
"ANHX",0
"ANK",0
"ANK1",0
"ANK2",0
"ANK3",0.0575
"ANK3",0.6686
"ANKAR",0
"ANKDD1A",0.0119
"ANKEF1",0
"ANKFN1",0
"ANKFY1",0
"ANKH",0.0637
"ANKH",0.0583
"ANKHD1",-0.2195
"ANKHD1",3.5446
"ANKHD1",-0.6756
"ANKHD1-EIF4EBP3",0
"ANKHZN",0
"ANKIB1",0
"ANKK1",0
"ANKLE1",0
"ANKLE2",0
"ANKMY1",0
"ANKMY2",0.2619
"ANKRA2",0
"ANKRD1",0.9549
"ANKRD10",0.2443
"ANKRD10",-0.4412
"ANKRD11",0
"ANKRD12",0.3536
"ANKRD12",0.2465
"ANKRD13A",0.5197
"ANKRD13A",1.5127
"ANKRD13B",0
"ANKRD13C",0
"ANKRD13D",0
"ANKRD15",0.099
"ANKRD15",0.4727
"ANKRD16",0
"ANKRD17",0.7535
"ANKRD17",-0.3784
"ANKRD18A",0
"ANKRD18B",0
"ANKRD19",0
"ANKRD19P",0
"ANKRD2",0
"ANKRD20A1",0
"ANKRD20A2",0
"ANKRD20A3",0
"ANKRD20A4",0
"ANKRD20A8P",0
"ANKRD20A9P",0
"ANKRD22",-0.4851
"ANKRD23",0
"ANKRD24",0
"ANKRD26",0
"ANKRD27",0
"ANKRD28",0.3603
"ANKRD28",-0.0249
"ANKRD29",0
"ANKRD3",0
"ANKRD30A",1.3769
"ANKRD30B",0
"ANKRD31",0
"ANKRD33",0
"ANKRD33B",0
"ANKRD34A",0
"ANKRD34B",0
"ANKRD35",0
"ANKRD36",0
"ANKRD36B",0
"ANKRD37",0
"ANKRD39",0
"ANKRD40",0.1804
"ANKRD42",0
"ANKRD43",0.1864
"ANKRD43",0.5444
"ANKRD44",0
"ANKRD46",0
"ANKRD47",0.7495
"ANKRD47",0.0808
"ANKRD49",0.0831
"ANKRD50",0
"ANKRD52",0
"ANKRD53",0
"ANKRD54",0
"ANKRD55",0
"ANKRD57",-0.8564
"ANKRD6",0
"ANKRD61",0
"ANKRD62",0
"ANKRD63",0
"ANKRD65",0
"ANKRD7",0
"ANKRD9",0
"ANKS1A",0
"ANKS1B",0
