"Gene","CREB5"
"AP3S2",0
"AP4",0
"AP4B1",0.3012
"AP4E1",0
"AP4M1",0.5223
"AP4S1",-0.0606
"AP5B1",0
"AP5M1",0
"AP5S1",0
"AP5Z1",0
"APAF1",0
"APBA1",0
"APBA2",0.186
"APBA2",-0.0708
"APBA3",0
"APBB1",0.6018
"APBB1",-0.2439
"APBB1IP",0
"APBB2",-0.8863
"APBB3",0
"APC",0
"APC10",0
"APC2",0
"APCDD1",0.5779
"APCDD1L",0
"APCS",0
"APE",0
"APEH",-0.1193
"APEX1",0
"APEX2",0
"apg-2",0
"APG5L",0
"APH1A",0
"APH1B",0
"API5",0
"APIP",0
"APITD1",0
"APLF",0
"APLN",0.2038
"APLN",0.1665
"APLN",2.7559
"APLNR",0
"APLP1",0
"APLP2",4.1179
"APLP2",-0.0434
"APM1",0
"APMAP",0
"APMCF1",0
"APNH",0
"APOA1",0
"APOA1BP",0.0426
"APOA2",0
"APOA4",0.3255
"APOA4",0.6233
"APOA5",0
"apoargC",0
"APOARGC",0
"APOB",0
"APOB48R",0
"APOBEC1",0
"APOBEC2",0
"APOBEC3A",0.191
"APOBEC3A_B",0
"APOBEC3B",0.4109
"APOBEC3C",0.1716
"APOBEC3D",0
"APOBEC3F",0.17
"APOBEC3G",0.754
"APOBEC3H",0
"APOBEC4",0
"APOC1",1.3462
"APOC1",0.9277
"APOC3",0.0753
"APOC4",1.2988
"APOD",0
"APOE",-2.1942
"APOF",0
"APOH",0
"APOL1",0
"APOL2",0
"APOL3",0
"APOL4",0
"APOL5",0
"APOL6",0.3067
"APOL6",0.5688
"APOL6",1.2595
"APOLD1",0
"APOLIV",0
"APOM",0
"APOO",0
"APOOL",0
"APOPT1",0
"APP",-0.7755
"APPBP2",-0.0812
"APPBP2",-0.3084
"APPILS",0
"APPL",0
"APPL1",0
"APPL2",0
"42826.0000",0
"42827.0000",0
"42828.0000",0
"APRT",0
"APTX",0
"AQP1",0
"AQP10",0
"AQP11",0
"AQP12A",0.5586
"AQP2",0.2176
"AQP2",-0.4202
"AQP3",-0.0589
"AQP3",-0.0728
"AQP4",0
"AQP5",0
"AQP6",0.5755
"AQP7",0
"AQP7P1",0
"AQP7P3",0
"AQP8",0
"AQP9",1.4378
"AQR",0
"AR",0.8606
"ARAF",0
"ARAP1",0
"ARAP2",0
"ARAP3",0
"ARC",0
"ARC20",0
"ARCN1",0
"AREG",0.0933
"AREL1",0
"ARF1",0
"ARF3",0
"ARF4",0.195
"ARF5",0
"ARF6",-2.0739
"ARFGAP1",0
"ARFGAP2",0
"ARFGAP3",0
"ARFGEF1",0.458
"ARFGEF2",0.0158
"ARFGEF3",0
"ARFIP1",0
"ARFIP2",0
"ARFRP1",0
"ARG1",0
"ARG2",0
"ARGFX",0
"ARGLU1",0
"ARHGAP1",0
"ARHGAP10",0
"ARHGAP11A",-0.2075
"ARHGAP11A",-0.6549
"ARHGAP11A",-0.0365
"ARHGAP11B",0
